Size,Time,Cycles,Price,Instructions,HeapSize,TotalHeapSize
1,8928565276,79038571,1.0670207085e-11,13010,1025576,3222808
2,15487425871,79043215,1.0670834025000001e-11,13679,1025592,4248400
3,15147735912,79047838,1.0671458130000001e-11,13679,1025592,5273992
4,2094298055,79038609,1.0670212215e-11,14246,1025592,6299584
5,2092466614,79038609,1.0670212215e-11,14246,1025592,7325176
6,2103560252,79038609,1.0670212215e-11,14246,1025592,8350768
7,2190927939,79041691,1.0670628285e-11,14246,1025592,9376360
8,2102691927,79038627,1.0670214645e-11,14813,1025592,10401952
9,2322971566,79038627,1.0670214645e-11,14813,1025592,11427544
10,2100467081,79038627,1.0670214645e-11,14813,1025592,12453136
11,2096110450,79041707,1.0670630445000001e-11,14750,1025592,13478728
12,2093018545,79038625,1.0670214375e-11,14771,1025592,14504320
13,2775164120,79038625,1.0670214375e-11,14771,1025592,15529912
14,2382042241,79038626,1.0670214510000001e-11,14792,1025592,16555504
15,3801928541,79041708,1.0670630580000002e-11,14792,1025592,17581096
16,3099159621,79038643,1.0670216805e-11,15359,1025592,18606688
17,3454748285,79041725,1.0670632875e-11,15359,1025592,19632280
18,3071503691,79038643,1.0670216805e-11,15359,1025592,20657872
19,2559854114,79038643,1.0670216805e-11,15359,1025592,21683464
20,2662405853,79041725,1.0670632875e-11,15359,1025592,22709056
21,4357032882,79038641,1.0670216535e-11,15296,1025592,23734648
22,6590464847,79038642,1.067021667e-11,15317,1025592,24760240
23,8113966831,79042342,1.0670716170000001e-11,15338,1025592,25785832
24,6215329086,79042033,1.0670674455000002e-11,15338,1025592,26811424
25,6462944856,79038643,1.0670216805e-11,15338,1025592,27837016
26,6807982941,79041725,1.0670632875e-11,15338,1025592,28862608
27,14683150287,79045424,1.0671132240000002e-11,15359,1025592,29888200
28,2381297270,79038643,1.0670216805e-11,15359,1025592,30913792
29,2209678562,79038643,1.0670216805e-11,15359,1025592,31939384
30,2105448163,79038643,1.0670216805e-11,15359,1025592,32964976
31,2164113560,80124232,1.081677132e-11,15296,-14886132,18078844
32,2069234631,79039368,1.0670314680000002e-11,38925,1026504,19105348
33,2070368889,79038677,1.0670221394999999e-11,16466,1025624,20130972
34,2119867037,79038677,1.0670221394999999e-11,16466,1025624,21156596
35,2203136307,79038678,1.067022153e-11,16487,1025624,22182220
36,2078187653,79047866,1.067146191e-11,16487,1025624,23207844
37,2107309783,79038678,1.067022153e-11,16487,1025624,24233468
38,2233133317,79038678,1.067022153e-11,16487,1025624,25259092
39,2106955862,79038678,1.067022153e-11,16487,1025624,26284716
40,2129015109,79047866,1.067146191e-11,16487,1025624,27310340
41,2195577528,79038676,1.067022126e-11,16424,1025624,28335964
42,2103368366,79038677,1.0670221394999999e-11,16445,1025624,29361588
43,2181139025,79038677,1.0670221394999999e-11,16445,1025624,30387212
44,3305924300,79047865,1.0671461775e-11,16466,1025624,31412836
45,3430875978,79038677,1.0670221394999999e-11,16466,1025624,32438460
46,2091679018,79038677,1.0670221394999999e-11,16466,1025624,33464084
47,3328836994,79038677,1.0670221394999999e-11,16466,1025624,34489708
48,2324440344,79047866,1.067146191e-11,16487,1025624,35515332
49,3309589089,79039263,1.0670300505000001e-11,35344,1026124,36541456
50,3338020314,79038679,1.0670221665e-11,16508,1025624,37567080
51,3337596318,79047864,1.067146164e-11,16424,1025624,38592704
52,3353258687,79038677,1.0670221394999999e-11,16445,1025624,39618328
53,2092276996,79038677,1.0670221394999999e-11,16466,1025624,40643952
54,2154668774,79038677,1.0670221394999999e-11,16466,1025624,41669576
55,3341894598,79047865,1.0671461775e-11,16466,1025624,42695200
56,3478695024,79038678,1.067022153e-11,16487,1025624,43720824
57,2069388819,79038678,1.067022153e-11,16487,1025624,44746448
58,3310790758,79047866,1.067146191e-11,16487,1025624,45772072
59,2069474246,79038678,1.067022153e-11,16487,1025624,46797696
60,3306362318,79038678,1.067022153e-11,16487,1025624,47823320
61,3311651101,79047864,1.067146164e-11,16424,1025624,48848944
62,3311756335,79038677,1.0670221394999999e-11,16445,1025624,49874568
63,3476559360,79038677,1.0670221394999999e-11,16445,1025624,50900192
64,3343176750,80746329,1.0900754415e-11,16466,-7705060,43195132
65,2167496009,79038677,1.0670221394999999e-11,16466,1025624,44220756
66,4818410948,79039253,1.0670299155e-11,35173,1026124,45246880
67,3380849312,79050936,1.067187636e-11,17033,1025624,46272504
68,3324744497,79038695,1.0670223825000001e-11,17033,1025624,47298128
69,4923486376,79038695,1.0670223825000001e-11,17033,1025624,48323752
70,3344745893,79052160,1.0672041600000001e-11,17054,1025624,49349376
71,4801828434,79038693,1.0670223555e-11,16970,1025624,50375000
