Size,Time,Cycles,Price,Instructions,HeapSize,TotalHeapSize
3,9925573926,236716961,3.1956789735e-11,25904,3074552,5271784
6,11780313755,236769408,3.196387008e-11,29390,3074600,8346384
9,15043360721,236774056,3.196449756e-11,30202,3074600,11420984
12,2159653692,236764914,3.196326339e-11,33602,3074600,14495584
15,2150728307,236764874,3.196325799e-11,32276,3074600,17570184
18,2139729858,236765009,3.1963276215000006e-11,36684,3074600,20644784
21,2138522063,236768018,3.1963682430000004e-11,34308,3074600,23719384
24,2132918333,236764930,3.196326555e-11,34098,3074600,26793984
27,2360672819,236765001,3.1963275135e-11,36430,3074600,29868584
30,2137540248,236764930,3.196326555e-11,34098,3074600,32943184
33,2147057781,237808601,3.2104161135e-11,69011,-12302088,20641096
36,2815081356,236718505,3.1956998175e-11,46313,3074748,23715844
39,2474825952,236718585,3.1957008975e-11,48883,3074748,26790592
42,2519424412,236727794,3.195825219e-11,49575,3074748,29865340
45,2562532810,236718618,3.195701343e-11,49963,3074748,32940088
48,3317595460,236719147,3.1957084845000004e-11,66997,3075248,36015336
51,3733544795,236718540,3.19570029e-11,47421,3074748,39090084
54,2212059936,236718524,3.195700074e-11,46909,3074748,42164832
57,3278233724,236727808,3.195825408e-11,50033,3074748,45239580
60,7676597775,236718617,3.1957013295e-11,49919,3074748,48314328
63,5608063162,236729646,3.195850221e-11,50045,3074748,51389076
66,5705192918,236719129,3.1957082415e-11,66585,3075248,54464324
69,5222031812,236728756,3.195838206e-11,50975,3074748,57539072
72,7793113267,238400270,3.218403645e-11,51249,-6153544,51385528
75,14847798626,236745592,3.196065492e-11,51413,3074748,54460276
78,2205978184,236718667,3.1957020045e-11,51549,3074748,57535024
81,2246201454,236718660,3.19570191e-11,51327,3074748,60609772
84,2137605907,236719140,3.1957083900000005e-11,66939,3075248,63685020
87,2141331866,236730924,3.1958674740000005e-11,52093,3074748,66759768
90,2140294924,236718682,3.195702207e-11,51871,3074748,69834516
93,2138608618,236718692,3.195702342e-11,52371,3074748,72909264
96,2143355929,236718626,3.1957014510000004e-11,50225,3074748,75984012
99,2146669563,236731411,3.1958740485e-11,67897,3075248,79059260
102,2135090175,236718556,3.195700506e-11,47959,3074748,82134008
105,2161904330,236718600,3.1957011e-11,49369,3074748,85208756
108,2204380717,236718627,3.1957014645e-11,50255,3074748,88283504
111,2148634881,236718613,3.1957012755000004e-11,49795,3074748,91358252
114,2146601677,236730872,3.195866772e-11,50393,3074748,94433000
117,2142555766,236719137,3.1957083495e-11,66851,3075248,97508248
120,2139393296,236718570,3.1957006950000004e-11,48223,3074748,100582996
123,3370751317,236718658,3.195701883e-11,51281,3074748,103657744
126,2142277115,236730880,3.19586688e-11,50649,3074748,106732492
129,3614367795,236718733,3.1957028955e-11,53721,3074748,109807240
132,3375936000,236718747,3.1957030845000005e-11,54163,3074748,112881988
135,3373672452,236730969,3.1958680815e-11,53527,3074748,115956736
138,3367033596,236718724,3.1957027740000004e-11,53417,3074748,119031484
141,3379370017,236731362,3.195873387e-11,66307,3075240,122106724
144,3376534515,236718740,3.19570299e-11,53937,3074748,125181472
147,2136053083,236718830,3.195704205e-11,56871,3074748,128256220
150,3370605075,236718833,3.1957042455000005e-11,56955,3074748,131330968
153,3396017859,236731095,3.1958697825000006e-11,57421,3074748,134405716
156,3511051346,236718761,3.1957032735000004e-11,54597,3074748,137480464
159,3378365793,236734537,3.1959162495e-11,70281,3075248,140555712
162,3367886590,236718686,3.195702261e-11,52171,3074748,143630460
165,3372237908,236718785,3.1957035975e-11,55379,3074748,146705208
168,3369922158,238326480,3.2174074800000004e-11,54967,27151052,173856260
171,3431393028,238924241,3.2254772535e-11,75519,40974660,214830920
174,3434254722,237921622,3.211941897e-11,75817,-112743372,102087548
177,3596207363,236743661,3.1960394235e-11,69015,3075248,105162796
180,3459663926,236718707,3.1957025445e-11,52861,3074748,108237544
183,4880906800,236718802,3.1957038270000006e-11,55961,3074748,111312292
186,3383034960,236743174,3.1960328490000004e-11,53341,3074748,114387040
