Size,Time,Instructions
3,463334,15965
6,211916,20052
9,283000,19798
12,465875,21770
15,534292,21778
18,232084,23706
21,253125,23706
24,305375,24634
27,372625,25688
30,672000,24634
33,4962625,52941
36,11807375,35297
39,495334,36569
42,253500,37537
45,280208,37663
48,265208,52308
51,310708,37051
54,246041,34663
57,274792,38123
60,336500,37897
63,339916,38139
66,311916,51082
69,299666,37609
72,355500,39369
75,308417,38859
78,369750,39095
81,737334,39395
84,394250,52484
87,450458,39925
90,314167,39369
93,672416,40049
96,321416,37425
99,566458,52656
102,355250,34953
105,275041,36941
108,534083,38111
111,350041,38237
114,319666,38237
117,315334,51984
120,290292,36173
123,332041,39305
126,323625,38115
129,346917,41145
132,312416,40793
135,452584,41095
138,4285750,40967
141,303875,52028
144,496000,42267
147,452209,44455
150,365250,43691
153,311666,44163
156,360042,42519
159,263542,53804
162,344625,39863
165,461458,43249
168,399958,42767
171,353583,42419
174,1722583,55862
177,331458,39737
180,538542,40597
183,287000,42877
186,434500,41689
189,678125,41437
192,381125,54196
195,417750,41335
198,243209,39653
201,310417,41741
204,559834,41563
207,297000,41563
210,290000,53780
213,330333,39901
216,598250,40685
219,507833,40179
222,899167,40405
225,5142916,53684
228,352584,37577
231,363875,40837
234,508875,40407
237,301042,40305
240,314000,40381
243,269167,53418
246,419417,36935
249,764042,38721
252,11255041,38923
255,1090500,38847
258,748959,38847
261,299500,49990
264,350459,38383
267,277500,38847
270,353209,39099
273,415208,39163
276,314334,51674
279,535375,40333
282,286333,40055
285,765416,37779
288,1047625,40055
291,467750,38959
294,547041,53626
297,457542,39187
300,298250,40459
303,348000,45641
306,554542,44347
309,416250,44397
312,304042,44345
315,343750,44319
318,304458,60404
321,282708,41489
324,377625,44371
327,656833,44311
330,314375,44293
333,289792,61564
336,278125,43897
339,476084,45995
342,304083,45945
345,308750,45693
348,631750,46323
351,326042,61952
354,340000,44855
357,741125,45609
360,287000,46221
363,286791,46539
366,296208,44533
369,628875,61538
372,2819167,44223
375,5012625,44659
378,364625,44809
381,564250,44583
384,469292,61846
387,975916,42993
390,379250,44839
393,333166,45633
396,506167,48119
399,398250,50645
402,258375,50081
405,237208,50441
408,352000,50137
411,511250,58620
414,359875,47151
417,318708,50643
420,374792,50291
423,812458,50985
426,294083,49027
429,4356292,63596
432,20348208,46051
435,12992708,49487
438,328958,49323
441,314500,49235
444,422250,49101
447,482750,62302
450,308833,46253
453,326125,49747
456,577459,47903
459,1015083,47803
462,1204250,62966
465,491167,46789
468,374000,47041
471,363125,47903
474,863125,47919
477,395083,48255
480,449083,62794
483,365916,47189
486,560958,47013
489,365417,46987
492,552250,46475
495,522000,46963
498,327916,60292
501,758167,45699
504,660583,47365
507,717958,46859
510,723125,46349
513,760084,62730
516,806041,42033
519,341166,44239
522,327041,45629
525,901834,45729
528,704791,45401
531,307833,60110
534,434208,44817
537,773791,45401
540,823208,45955
543,21772541,46079
546,42016125,42555
549,407792,60674
552,392208,41711
555,385958,42925
558,468041,42849
561,456208,43861
564,507375,59168
567,273958,42957
570,373459,43993
573,377709,49073
576,604000,49433
579,1739417,49863
582,646334,50113
585,950958,50097
588,521833,92798
591,433833,50122
594,581834,52530
597,806500,52244
600,316167,52704
603,391166,69125
606,317000,49296
609,279000,46950
612,280125,50536
615,365666,50158
618,375250,50132
621,274208,65435
624,257375,50532
627,392875,48438
630,22228209,50510
633,223625,50658
636,284417,48674
639,559541,65015
642,840291,51730
645,454250,51830
648,277041,51832
651,14302917,51732
654,283375,68017
657,708375,47308
660,297584,48774
663,278041,49664
666,686833,47442
669,289958,47568
672,486792,63979
675,300000,47618
678,267542,50726
681,631042,50290
684,745583,50466
687,1593125,50240
690,434000,65143
693,421042,51570
696,376084,54002
699,1059708,56432
702,601750,56686
705,295917,56432
708,534959,55944
711,579000,64715
714,382959,47312
717,878792,48316
720,300083,49336
723,347458,54302
726,369333,53104
729,434500,55326
732,478000,55098
735,285833,55126
738,382292,68836
741,666875,51604
744,1365834,54414
747,460450083,55198
750,613791,54736
753,292708,55814
756,304958,67517
759,301541,53638
762,365042,53964
765,365250,53590
768,308459,54168
771,288125,68537
774,858750,52804
777,462666,53964
780,718208,53992
783,361375,54080
786,873584,52514
789,300375,66621
792,505125,50712
795,396291,51464
798,924000,53340
801,788583,52582
804,1526792,52682
807,357333,65391
810,19132000,50560
813,2132791,53858
816,410916,51534
819,350125,50996
822,519500,66283
825,466125,49536
828,292334,51960
831,625709,51734
834,310750,52240
837,700209,51122
840,580958,65341
843,803791,50046
846,909750,50124
849,360584,50292
852,410833,50300
855,548000,50300
858,489250,64545
861,433833,49566
864,345666,50502
867,612083,50552
870,298000,50400
873,2942958,66059
876,53031750,54068
879,672916,55350
882,359625,55928
885,332166,55768
888,1502125,55758
891,373083,88957
894,1078583,52096
897,8959166,53520
900,793958,52870
903,545584,52872
906,433375,66327
909,273750,49624
912,293500,49212
915,359375,51066
918,341250,50510
921,1563542,50610
924,2027958,64861
927,477708,50658
930,3276209,48562
933,4133625,50986
936,28243917,49384
939,1915208,49378
942,4163459,63375
945,510000,49152
948,607083,49100
951,806625,49376
954,747458,49528
957,977875,64907
960,924167,49480
963,546208,52848
966,578084,50650
969,2066833,51002
972,585083,51128
975,330875,66037
978,709709,48796
981,373458,50852
984,862042,51204
987,307333,51254
990,938416,51254
993,905458,65187
996,879708,48982
999,763916,48088
1002,1256458,47970
1005,4715667,48982
1008,3838568583,63793
1011,415167,48298
1014,881583,48298
1017,598416,49436
1020,1028709,49234
1023,374833,60228
1026,1713750,57910
1029,830625,58164
1032,12054875,64651
1035,1734583,51828
1038,1311917,51602
1041,1210500,51350
1044,637083,51578
1047,447541,65761
1050,314167,50566
1053,513375,52156
1056,1538709,49842
1059,2288333,49892
1062,940500,50060
1065,267792,65471
1068,628417,49668
1071,56082500,50704
1074,6624000,50402
1077,3894500,50376
1080,1916708,65649
1083,400917,48694
1086,301959,52496
1089,2023542,54264
1092,901250,55552
1095,255125,55140
1098,317333,55474
1101,230916,68230
1104,1068875,53858
1107,317000,54718
1110,418166,55576
1113,573000,55810
1116,503125,54320
1119,926667,65873
1122,353084,53662
1125,667958,54192
1128,638750,54550
1131,318416,54396
1134,7314250,67695
1137,3548625,51590
1140,926041,54748
1143,3049000,55050
1146,780042,53064
1149,583625,53264
1152,672417,65627
1155,891208,51984
1158,79993583,51244
1161,215875,52636
1164,1361209,53290
1167,466958,53390
1170,349041,65781
1173,724625,50344
1176,1746708,51756
1179,583042,50768
1182,552792,51414
1185,341166,91643
1188,639750,49576
1191,616000,51790
1194,236000,51772
1197,231375,51756
1200,18092375,51506
1203,1302292,67175
1206,1262000,56258
1209,15711125,59162
1212,353625,59744
1215,573250,59162
1218,823042,59136
1221,436417,68505
1224,1013958,50954
1227,524000,52244
1230,645333,51030
1233,287959,57080
1236,273500,55630
1239,677291,57676
1242,260833,57750
1245,265875,57652
1248,617042,71123
1251,1612959,55932
1254,590667,57018
1257,5853250,57794
1260,399792,58102
1263,265416,58922
1266,17377750,69609
1269,5947542,56518
1272,4824292,56844
1275,415167,57050
1278,513125,56696
1281,583667,71505
1284,709250,54724
1287,559500,56694
1290,366083,56772
1293,758667,56810
1296,859333,55244
1299,646792,69425
1302,418833,52590
1305,588125,54452
1308,798334,55874
1311,363375,55822
1314,1900583,55670
1317,490500,69399
1320,854250,52816
1323,516083,56594
1326,897000,54540
1329,448208,53852
1332,455708,69001
1335,738667,52188
1338,481625,54612
1341,4373208,54186
1344,3737875,54588
1347,2746667,53774
1350,2299542,67847
1353,201166,52422
1356,299125,52878
1359,573459,52794
1362,220334,52902
1365,448291,52802
1368,279083,67735
1371,468834,53154
1374,473792,52718
1377,370958,53304
1380,318709,53304
1383,357209,66287
1386,440916,56614
1389,280125,59088
1392,495042,58760
1395,336250,58348
1398,1999042,58632
1401,971000,65265
1404,1867166,55544
1407,448000,58500
1410,452250,58684
1413,766875,59238
1416,612750,57554
1419,614041,69723
1422,465500,54546
1425,735541,57678
1428,542000,57324
1431,275417,57486
1434,396125,57932
1437,193750,68347
1440,621417,54772
1443,517958,58140
1446,590750,55860
1449,689833,56128
1452,1802584,69103
1455,1074834,55814
1458,15681583,53754
1461,17806834,56600
1464,6202333,55810
1467,1252916,56246
1470,455541,68537
1473,410625,56352
1476,679375,54702
1479,1049167,54390
1482,1883209,54164
1485,1850708,54936
1488,856458,90571
1491,914542,51444
1494,536083,52190
1497,568750,51752
1500,856875,52188
1503,590959,67875
1506,678792,49462
1509,1183250,50776
1512,1609541,50566
1515,890917,51586
1518,696708,50700
1521,806333,67523
1524,53892958,49712
1527,11672250,50926
1530,5359667,51736
1533,2923125,54368
1536,743042,54114
1539,203000,55300
1542,652375,55324
1545,847042,54966
1548,770125,67718
1551,402958,54390
1554,1882500,55326
1557,615917,55376
1560,506958,55122
1563,682541,68211
1566,239334,51338
1569,404375,54446
1572,749292,54292
1575,429625,54524
1578,817209,54446
1581,420916,67181
1584,45035875,52164
1587,6746041,54722
1590,3399292,54720
1593,1370917,54808
1596,4089083,53138
1599,532417,68551
1602,688292,52762
1605,1251667,55388
1608,894917,55970
1611,598625,56070
1614,905083,70189
1617,2029291,55284
1620,1069834,53064
1623,277667,56840
1626,270000,54804
1629,653792,54764
1632,827042,67545
1635,722834,54384
1638,750166,54914
1641,851667,54604
1644,601292,54714
1647,1325791,54814
1650,661291,67209
1653,2911459,55276
1656,18509125,53204
1659,1404792,52928
1662,581333,52970
1665,725500,67761
1668,645833,50498
1671,1254791,52772
1674,270417,53656
1677,1032042,53346
1680,1066375,53782
1683,415875,68655
1686,471417,55928
1689,1263083,58548
1692,1133750,59212
1695,583667,58832
1698,794250,59058
1701,518000,65053
1704,3210000,52090
1707,640208,49730
1710,449167,51078
1713,3314750,56978
1716,1969708,56108
1719,6480917,58054
1722,396500,57648
1725,935708,57718
1728,3446167,69282
1731,462833,54484
1734,395083,56732
1737,438292,58532
1740,647583,57574
1743,480208,58820
1746,547584,68141
1749,2094708,57174
1752,415667,56202
1755,810041,56798
1758,271708,56796
1761,3087500,69303
1764,1234750,54674
1767,267750,57022
1770,500500,56688
1773,281667,57022
1776,439542,55244
1779,388375,66607
1782,323500,51966
1785,247792,54348
1788,852834,55014
1791,2482208,54904
1794,4712792,55340
1797,12547917,92065
1800,19857791,49420
1803,1338334,52946
1806,476417,49694
1809,196958,50046
1812,1293042,65349
1815,734083,48428
1818,3038792,50374
1821,549541,50324
1824,1271500,50198
1827,869667,50298
1830,476958,65093
1833,586583,49098
1836,387584,56866
1839,1006875,59140
1842,1744709,59138
1845,1628542,58474
1848,502416,58884
1851,233625,65183
1854,350084,56614
1857,649583,59140
1860,674834,58576
1863,558417,59412
1866,291500,57656
1869,932417,68835
1872,634792,54418
1875,280750,57602
1878,49614375,57448
1881,226115500,57680
1884,1699541,71035
1887,680917,54318
1890,3172875,55756
1893,2005584,57760
1896,499750,55708
1899,7719333,56258
1902,478458,68963
1905,373459,56484
1908,475709,54060
1911,919417,56234
1914,548000,56184
1917,1055583,56284
1920,523125,69211
1923,1038250,54680
1926,679917,54598
1929,960125,54874
1932,1002375,54900
1935,1480625,68481
1938,606500,52770
1941,717375,54494
1944,1169500,55378
1947,706875,55024
1950,723875,54742
1953,500500,68461
1956,871625,50224
1959,1026541,53996
1962,1839250,53642
1965,525334,53692
1968,739292,53944
1971,770083,65427
1974,822125,53008
1977,369208,54122
1980,983042,54070
1983,1819250,54472
1986,862083,64347
1989,713375,51192
1992,522875,50914
1995,727875,50990
1998,1132750,50990
2001,723875,50780
2004,1199542,64575
2007,647333,49932
2010,493875,52460
2013,425416,58366
2016,542167,57714
2019,545541,58220
2022,566292,58470
2025,812458,58544
2028,699708,68704
2031,359250,57662
2034,760000,58800
2037,1879042,58060
2040,565416,58394
2043,240166,68987
2046,735917,53998
2049,1308583,57492
2052,6500916,57288
2055,528581667,57722
2058,575459,57190
2061,559583,67807
2064,226625,54518
2067,897959,57340
