Size,Time,Instructions
3,228095114,10018
6,21776112,9543
9,1123987,11152
12,1166082,10047
15,1136901,11152
18,902395,11152
21,814437,11656
24,858301,10551
27,1524393,10551
30,14313766,10551
33,1018859,18537
36,19622156,18846
39,1059909,18376
42,1242816,18859
45,1102771,17712
48,8246219,18401
51,16413408,18430
54,1811739,16716
57,4326845,18443
60,1198538,17779
63,10454386,19087
66,2848799,17192
69,5982096,18255
72,1094036,18255
75,1681156,18906
78,1289851,19389
81,726733,17717
84,1041244,18898
87,908308,18276
90,859591,18927
93,694159,19445
96,1121853,18885
99,1212250,18871
102,1204217,19396
105,19540763,17724
108,788351,18913
111,1108741,18913
114,750136,18913
117,700301,18892
120,1085359,17745
123,843888,19095
126,779619,18217
129,1285921,18729
132,822154,18246
135,10907322,17582
138,701302,18729
141,1187376,19434
144,737349,18742
147,705625,19254
150,858765,18771
153,1192664,19394
156,662781,17002
159,775668,18225
162,765160,17561
165,10654500,19233
168,1190319,38631
171,1061623,39114
174,1016509,19246
177,75229878,18729
180,912917,18771
183,868302,18793
186,762724,18729
189,810066,19212
192,1789081,17561
195,882885,18086
198,1196698,19220
201,1125336,17023
204,777600,19233
207,825613,19233
210,872957,18708
213,779130,19255
216,763305,19212
219,767405,19212
222,743711,18716
225,748684,19199
228,738345,17023
231,741807,18708
234,801835,18086
237,810642,19233
240,1202361,18737
243,821838,17002
246,1017802,18716
249,814570,19199
252,709435,17527
255,792799,19212
258,785036,19212
261,3003775,18212
264,678151,19220
267,756640,19220
270,1396382,17548
273,14131875,18674
276,902214,19178
279,1110947,19178
282,1064236,19703
285,1268265,18556
288,1338419,18556
291,2881221,18556
294,987514,19199
297,1114799,19199
300,1046454,19724
303,1908612,19862
306,972363,19701
309,916251,19016
312,4146554,20205
315,1193378,19688
318,754068,20220
321,2447859,17939
324,1303026,20233
327,2310726,19044
330,1172989,20233
333,1180637,20248
336,1223033,19541
339,104253369,20213
342,40098119,41161
345,7757009,39426
348,561290485,39426
351,1503636,20192
354,1309042,20221
357,1257111,20221
360,15167274,20725
363,985098,20899
366,1109202,19494
369,729449,18976
372,930536,20207
375,1563119,20711
378,54708446,20711
381,844146,20711
384,736037,19003
387,704028,19003
390,753428,20234
