Size,Time,Cycles,Price,Instructions,HeapSize,TotalHeapSize
1,2039290875,143675,1.9396124999999998e-14,1642,176,4812
51,2047765125,144166,1.946241e-14,4703,300,138664
101,2120248959,143939,1.9431765e-14,5216,312,276720
151,2252254084,143939,1.9431765e-14,5216,312,414908
201,2055433417,144232,1.947132e-14,5729,324,553888
251,2040083500,143955,1.9433925000000002e-14,5729,324,693624
301,2036594208,143955,1.9433925000000002e-14,5729,324,832844
351,2054502875,143971,1.9436085e-14,6242,336,973228
401,2054095666,143971,1.9436085e-14,6242,336,480492
451,1988861708,144344,1.9486439999999998e-14,6242,336,621452
501,2034358958,144171,1.9463085000000003e-14,7713,312,761824
551,2048853292,144173,1.9463355e-14,7766,360,903484
601,2038490500,144513,1.9509255000000002e-14,6711,336,1045060
651,2033734583,144141,1.9459035000000003e-14,6736,336,1186708
701,2052416875,144140,1.94589e-14,6711,336,1328356
751,2366859334,144189,1.9465515e-14,8275,416,1474776
801,2048867083,144221,1.9469835e-14,9343,440,1620296
851,2047178083,144580,1.9518300000000002e-14,8301,416,1766272
901,2037364917,144190,1.9465650000000002e-14,8326,416,1075436
951,2045582250,144221,1.9469835e-14,9339,440,1221436
1001,2116679041,144183,1.9464705000000002e-14,8106,416,1367856
1051,1905746292,144311,1.9481985e-14,12245,416,1514728
1101,2045301583,144241,1.9472535e-14,9980,440,1660272
1151,2059971959,144241,1.9472535e-14,10001,440,1806764
1201,2031573958,144225,1.9470375000000003e-14,9464,428,1952704
1251,2038447458,144724,1.953774e-14,9489,428,2099160
1301,2141636750,144242,1.947267e-14,10013,440,2245580
1351,2193293542,144227,1.9470645e-14,9518,428,2391496
1401,2043835792,144740,1.95399e-14,10023,440,2538764
1451,2040916667,144257,1.9474695e-14,10518,452,2685580
1501,2037452084,144245,1.9473075e-14,10101,440,1789580
1551,2033407292,144201,1.9467135000000003e-14,8674,380,1936612
1601,2119110833,144266,1.9475909999999997e-14,10784,428,2081904
1651,2247953875,144928,1.956528e-14,11293,440,2227760
1701,2046329708,144266,1.9475909999999997e-14,10810,428,2373652
1751,2052821000,144282,1.9478070000000003e-14,11318,440,2519644
1801,2039994500,144216,1.946916e-14,9182,392,2665848
1851,2046522750,144250,1.947375e-14,10264,416,2811680
1901,2047884291,144267,1.9476045e-14,10836,428,2957572
1951,2294775417,144265,1.9475775e-14,10780,428,3103268
2001,2036075000,144237,1.9471995000000002e-14,9837,448,3249000
2051,2051937458,144973,1.9571355e-14,12758,428,3394532
2101,2033216959,144195,1.9466325e-14,8501,404,3540868
2151,2034398875,144195,1.9466325e-14,8489,404,3687348
2201,2040156458,144195,1.9466325e-14,8489,404,2622252
2251,2081832333,144229,1.9470915e-14,9590,428,2768524
2301,2044994125,144230,1.9471049999999998e-14,9615,436,2913776
2351,2039412917,144244,1.947294e-14,10086,440,3059072
2401,2046436708,144244,1.947294e-14,10073,440,3205048
2451,2040696000,145059,1.9582965000000003e-14,10098,440,3350904
2501,2040966541,144201,1.9467135000000003e-14,8670,416,3496824
2551,2301490375,144293,1.9479554999999997e-14,11661,440,3642752
2601,2047155833,145108,1.958958e-14,11708,440,3788680
2651,2032711042,144261,1.9475235000000002e-14,10636,416,3935156
2701,2044772500,144245,1.9473075e-14,10127,404,4081084
2751,2045084250,144261,1.9475235000000002e-14,10649,416,4226688
2801,2031505375,144278,1.947753e-14,11182,428,4372844
2851,2103321125,145091,1.9587284999999998e-14,11157,428,4518796
2901,2039528333,144262,1.947537e-14,10674,416,4664532
2951,2040317083,144262,1.947537e-14,10674,416,4810460
3001,2039794917,145074,1.958499e-14,10605,416,4956316
3051,2048636375,144244,1.947294e-14,10069,440,3633416
3101,2044127500,144260,1.9475099999999998e-14,10591,452,3779744
3151,2114064125,144244,1.947294e-14,10083,440,3927376
3201,2047571041,144259,1.9474965e-14,10565,452,4074480
3251,2050623042,145233,1.9606455000000002e-14,8989,416,4221476
3301,2033274042,144245,1.9473075e-14,10095,440,4369096
3351,2030330875,144259,1.9474965e-14,10578,452,4516248
3401,2048711375,144244,1.947294e-14,10065,440,4663624
3451,2135317875,144244,1.947294e-14,10090,440,4809696
3501,2042156791,144257,1.9474695e-14,10499,452,4956200
3551,2034197250,144314,1.9482389999999998e-14,12361,452,5103328
3601,2030470458,144313,1.9482255e-14,12335,452,5250432
3651,2031470209,145337,1.9620495e-14,12356,452,5397552
3701,2029578792,144299,1.9480365e-14,11861,440,5544644
3751,2124587833,144314,1.9482389999999998e-14,12369,452,5691868
