Size,Time,Cycles,Price,Instructions,HeapSize,TotalHeapSize
500,2058318125,80814241,1.0909922534999999e-11,6794157,574160,574788
1000,2052564959,80812902,1.090974177e-11,8143584,1221552,1796340
1500,2051235250,81151440,1.0955444399999999e-11,8571904,-67780,1728560
2000,2051831042,80841547,1.0913608844999999e-11,9074560,1230328,2958888
2500,2190751333,81384449,1.0986900615e-11,9092763,-76836,2882052
3000,2253441542,80842889,1.0913790015e-11,9089769,1230244,4112296
3500,2398954916,80856817,1.0915670295e-11,9570826,1229880,5342176
4000,2152900875,81723533,1.1032676954999999e-11,9537438,-730028,4612148
4500,2106594750,80856896,1.0915680959999999e-11,9573404,1229796,5841944
5000,2065643459,80858574,1.091590749e-11,9587329,1230320,7072264
5500,2053356041,82163343,1.1092051305e-11,10470247,-729832,6342432
6000,2067780167,80963328,1.093004928e-11,10249183,1229444,7571876
6500,2066725917,80966862,1.0930526369999999e-11,10364041,1229484,8801360
7000,2072071083,80976431,1.0931818184999998e-11,10624369,1229492,10030852
7500,2066642542,82609650,1.115230275e-11,10892395,-1382612,8648240
8000,2050431208,80980566,1.093237641e-11,10809442,1230796,9879036
8500,2055265125,80978933,1.0932155954999998e-11,10756364,1229484,11108520
9000,2061640792,80977964,1.093202514e-11,10724849,1229468,12337988
9500,2053800500,80984037,1.0932844994999999e-11,10855870,1230728,13568716
10000,2056311041,83148890,1.1225100149999998e-11,10807522,-2037828,11530888
10500,2063723750,80981099,1.0932448364999999e-11,10826762,1230812,12761700
11000,2063663416,80978171,1.0932053084999998e-11,10731577,1229924,13991624
11500,2054054417,80976710,1.0931855849999998e-11,10684114,1229940,15221564
12000,2096914333,80981662,1.0932524369999997e-11,10759675,1231192,16452756
12500,2255967958,80977699,1.0931989365e-11,10716238,1229484,17682240
13000,4949758417,83797222,1.131262497e-11,10740423,-2691864,14990376
13500,2059271792,80991572,1.0933862219999997e-11,11059491,1243484,16233860
14000,2055399542,81006495,1.0935876824999999e-11,11652119,1249640,17483500
14500,2054252792,81007327,1.0935989144999998e-11,11679154,1247940,18731440
15000,2063315541,80996979,1.0934592164999999e-11,11342857,1248372,19979812
15500,2050711125,80995806,1.093443381e-11,11304719,1247460,21227272
16000,2057497375,81010883,1.0936469205e-11,11687088,1247916,22475188
16500,2051714083,84586441,1.1419169535e-11,11717355,-3448016,19027172
17000,2055303375,81008923,1.0936204605e-11,11731045,1248356,20275528
17500,2062097625,81008076,1.0936090259999998e-11,11703506,1247452,21522980
18000,2065169833,81008239,1.0936112264999999e-11,11708809,1248804,22771784
18500,2061935958,81012230,1.093665105e-11,11704701,1248364,24020148
19000,2069663333,81007749,1.0936046115e-11,11692861,1248796,25268944
19500,2050267875,81007169,1.0935967815e-11,11674008,1248364,26517308
20000,2061372500,81007380,1.0935996299999999e-11,11680890,1247916,27765224
20500,2156502083,81013522,1.0936825469999999e-11,11746702,1247904,29013128
21000,9134012250,85560293,1.1550639555e-11,11657800,-4796652,24216476
21500,2058032875,81007290,1.0935984149999998e-11,11509426,1248744,25465220
22000,2066546833,80991473,1.0933848855e-11,11163906,1247476,26712696
22500,2052374959,81003507,1.0935473445e-11,11555014,1247916,27960612
23000,2057792958,81005422,1.0935731969999999e-11,11617261,1248264,29208876
23500,2055653875,81011934,1.0936611089999999e-11,11660360,1248388,30457264
24000,2053651084,81007796,1.0936052459999999e-11,11694406,1247456,31704720
24500,2062874333,81009662,1.093630437e-11,11755037,1250080,32954800
25000,2053451083,81006316,1.093585266e-11,11646305,1247468,34202268
25500,2064374416,81009785,1.0936320975e-11,11759049,1249732,35452000
26000,2051113750,81012278,1.0936657529999998e-11,11671551,1247908,36699908
26500,2050941833,86751167,1.1711407545e-11,11604508,-6140780,30559128
27000,2051551167,81007887,1.0936064744999998e-11,11697349,1249168,31808296
27500,2052601917,81006657,1.0935898694999998e-11,11657369,1247924,33056220
28000,2051101625,81005645,1.0935762074999999e-11,11624492,1247924,34304144
28500,2051882750,81014662,1.0936979369999999e-11,11707551,1249184,35553328
29000,2058553625,81008094,1.0936092689999998e-11,11704100,1248720,36802048
29500,2102097459,81020765,1.0937803274999999e-11,12115892,1247492,38049540
30000,2362030208,81022590,1.0938049649999998e-11,12175201,1248812,39298352
30500,2178276000,81034520,1.0939660199999999e-11,12352955,1247468,40545820
31000,2169320834,81024393,1.0938293055e-11,12233793,1248836,41794656
31500,2050028125,81022067,1.0937979045e-11,12158212,1248364,43043020
32000,2057198708,81020466,1.0937762909999999e-11,12106180,1248836,44291856
32500,2053815375,81020263,1.0937735505e-11,12099570,1248360,45540216
33000,2059595000,81025283,1.0938413204999998e-11,12052737,1247916,46788132
33500,2054578042,88283756,1.1918307059999999e-11,12073029,-8155832,38632300
34000,2067583625,81020591,1.0937779784999998e-11,12110244,1248776,39881076
34500,2048532333,81021254,1.0937869289999998e-11,12131787,1248388,41129464
35000,2051602625,81022689,1.0938063014999999e-11,12178431,1248388,42377852
35500,2052134209,81024341,1.0938286034999998e-11,12232112,1247940,43625792
36000,2060987334,81021108,1.093784958e-11,12127053,1247908,44873700
36500,2080839292,81015774,1.093712949e-11,11953668,1248264,46121964
37000,2077653583,81009003,1.0936215405e-11,11733635,1250048,47372012
37500,2055262417,81013631,1.0936840184999999e-11,11620406,1248356,48620368
38000,2061398834,81017290,1.0937334149999999e-11,12002939,1247484,49867852
38500,2055137250,81021550,1.0937909249999998e-11,12141407,1247924,51115776
39000,2052164708,81023552,1.0938179519999998e-11,12206481,1249192,52364968
39500,2061618917,81020945,1.0937827574999999e-11,12121734,1248388,53613356
40000,2051464625,81030795,1.0939157325e-11,12178223,1248380,54861736
40500,2052656167,81025649,1.0938462614999999e-11,12274632,1248836,56110572
41000,2056257459,81018865,1.0937546774999998e-11,12054131,1248820,57359392
41500,2095678042,81018384,1.093748184e-11,12038509,1248364,58607756
42000,6909474750,90139264,1.216880064e-11,12058672,-10171624,48436132
42500,2066648542,81019925,1.0937689875e-11,12088596,1248380,49684512
43000,2054111417,81028558,1.0938855329999999e-11,12369155,1248380,50932892
43500,2063534709,81022744,1.093807044e-11,12180214,1249496,52182388
44000,2048090375,81029966,1.093904541e-11,12087331,1248352,53430740
44500,2055808208,81022024,1.0937973239999998e-11,12156796,1248372,54679112
45000,2053063000,81020254,1.093773429e-11,12099272,1249616,55928728
45500,2053978375,81021738,1.0937934629999999e-11,12147529,1247916,57176644
46000,2058432792,81006390,1.093586265e-11,11648695,1248380,58425024
46500,2064732208,81013852,1.0936870019999999e-11,11563611,1248828,59673852
47000,2051978000,81004748,1.093564098e-11,11595354,1248736,60922588
47500,2061881542,81006859,1.0935925965e-11,11663951,1247940,62170528
48000,2059179792,81003008,1.093540608e-11,11538778,1247484,63418012
48500,2059307416,81007090,1.0935957149999999e-11,11671464,1247940,64665952
49000,2052833209,81016597,1.0937240595e-11,11652823,1249640,65915592
49500,2062329125,81012822,1.0936730969999997e-11,11857727,1248388,67163980
50000,2058899958,81011712,1.0936581119999998e-11,11821658,1249192,68413172
50500,2133991750,81103327,1.0948949145e-11,12590417,1249312,69662484
51000,2365381500,81109371,1.0949765084999997e-11,12459242,1248856,70911340
51500,2153897500,81098584,1.0948308839999998e-11,12436263,1248408,72159748
52000,2261517500,81112244,1.0950152939999998e-11,12880198,1250140,73409888
52500,3277990375,92499227,1.2487395644999998e-11,12899493,-12862144,60547744
53000,2074959417,81126272,1.0952046719999998e-11,12928871,1248432,61796176
53500,2071916709,81114208,1.095041808e-11,12944055,1248888,63045064
54000,2073499292,81115079,1.0950535664999999e-11,12972355,1249236,64294300
54500,2061676708,81115096,1.0950537959999998e-11,12972888,1249312,65543612
55000,2039103125,81116328,1.0950704279999998e-11,13012941,1250232,66793844
55500,2049374333,81129969,1.0952545814999999e-11,13049013,1248440,68042284
56000,2055378167,81110585,1.0949928974999999e-11,12826279,1247976,69290260
56500,2050794458,81113466,1.0950317909999999e-11,12919943,1248432,70538692
57000,2052364208,81105782,1.0949280570000001e-11,12670213,1248772,71787464
57500,2051112333,81112261,1.0950155235e-11,12473516,1250580,73038044
58000,2063773625,81101686,1.094872761e-11,12537088,1248880,74286924
58500,2051007584,81110222,1.0949879969999998e-11,12814487,1249320,75536244
59000,2059968083,81113868,1.095037218e-11,12933005,1249684,76785928
59500,2084646375,81114745,1.0950490574999998e-11,12961491,1249328,78035256
60000,2251785000,81130165,1.0952572275e-11,13055379,1250588,79285844
60500,5268774500,81113813,1.0950364754999999e-11,12931223,1249784,80535628
61000,2056691541,81116980,1.09507923e-11,13034145,1248416,81784044
61500,2061543791,81128680,1.09523718e-11,13007136,1248416,83032460
62000,2055239959,81114364,1.095043914e-11,12949123,1247960,84280420
62500,2050715166,81114079,1.0950400665e-11,12939858,1247520,85527940
63000,2061584167,81114793,1.0950497054999999e-11,12963065,1248400,86776340
63500,2055444000,81113504,1.095032304e-11,12921148,1248864,88025204
64000,2055351209,81130149,1.0952570115e-11,13054861,1248756,89273960
64500,2058036584,81116479,1.0950724664999998e-11,13017837,1249296,90523256
65000,2051788417,81132488,1.095288588e-11,13538143,1249312,91772568
65500,3271636333,95337765,1.2870598274999999e-11,13499705,-16230656,75541912
66000,2050578542,81141480,1.09540998e-11,13324490,1249304,76791216
66500,2048351041,81117089,1.0950807015e-11,13037690,1248864,78040080
67000,2054950959,81119421,1.0951121834999999e-11,13113450,1248852,79288932
67500,2062520042,81129846,1.0952529209999998e-11,13452292,1249304,80538236
68000,2057882041,81144753,1.0954541654999998e-11,13430860,1249776,81788012
68500,2055404791,81130478,1.095261453e-11,13472828,1249312,83037324
69000,2162317916,81128468,1.095234318e-11,13407493,1249304,84286628
69500,2143259125,81126084,1.095202134e-11,13330020,1248864,85535492
70000,2206106500,81126315,1.0952052525e-11,13337526,1248864,86784356
70500,2054665083,81148954,1.095510879e-11,13567389,1247976,88032332
71000,2055232125,81126860,1.0952126099999998e-11,13355237,1248880,89281212
71500,2057474000,81128870,1.0952397449999998e-11,13420571,1248440,90529652
72000,2057020416,81128665,1.0952369774999999e-11,13413879,1248440,91778092
72500,2053557583,81135391,1.0953277784999999e-11,13126580,1250496,93028588
73000,2060662750,81123175,1.0951628624999999e-11,13235472,1248416,94277004
73500,2050750917,81113275,1.0950292124999998e-11,12913723,1249296,95526300
74000,2055762667,81113022,1.095025797e-11,12905503,1248888,96775188
74500,2051143709,81111996,1.0950119459999999e-11,12872141,1247968,98023156
75000,2051129500,81139220,1.09537947e-11,13251038,1248880,99272036
75500,2056463792,81131149,1.0952705114999999e-11,13494623,1249228,100521264
76000,2053778250,81125626,1.095195951e-11,13315137,1247992,101769256
76500,2056132125,81126327,1.0952054144999998e-11,13337900,1247992,103017248
77000,2054253541,81127923,1.0952269605e-11,13389794,1248888,104266136
77500,2051511333,81142566,1.095424641e-11,13359792,1249692,105515828
78000,2052211250,81129611,1.0952497485e-11,13444655,1248432,106764260
78500,2052247542,81127655,1.0952233425e-11,13381064,1247536,108011796
79000,2063641709,81127883,1.0952264204999998e-11,13388494,1250928,109262724
79500,2160745208,81129679,1.0952506664999999e-11,12940941,1248864,110511588
80000,2232380333,81112686,1.095021261e-11,12894585,1248880,111760468
80500,2236973375,81118232,1.095096132e-11,13074820,1247544,113008012
81000,2060381042,81129437,1.0952473994999999e-11,13438981,1248856,114256868
81500,4738109250,98822912,1.3341093119999998e-11,13309329,-20262568,93994300
