Size,Time,Instructions
50,209000,488060
100,228083,639498
150,860792,650374
200,359792,688576
250,714833,706962
300,748791,697006
350,559667,728780
400,853250,753576
450,44273917,755384
500,2346250,746644
550,260167,858934
600,456250,865762
650,412042,832557
700,361041,866912
750,609041,951152
800,203375,962146
850,595750,955753
900,652875,949250
950,283792,962364
1000,819250,958704
1050,483292,981743
1100,556084,945456
1150,1004750,957122
1200,1194375,941252
1250,336542,943176
1300,951583,940806
1350,6404916,959935
1400,6290375,1013907
1450,992042,1002244
1500,1062209,1029356
1550,228333,1009716
1600,1014917,940927
1650,661500,955430
1700,575084,1006446
1750,969500,983836
1800,611125,971048
1850,1511250,973948
1900,941584,990869
1950,3409458,920134
2000,674583,979994
2050,660084,982931
2100,620250,997102
2150,1675500,992828
2200,1153958,968416
2250,1200084,963725
2300,32013750,944435
2350,635084,968438
2400,939500,987680
2450,663416,991306
2500,550500,994378
2550,1171958,980930
2600,650625,960079
2650,720209,947926
2700,550208,962618
2750,904291,952269
2800,1030125,972052
2850,1005250,947464
2900,703583,975738
2950,1023125,993046
3000,1707500,1008504
3050,2380167,1058048
3100,3080167,998148
3150,2137000,993292
3200,271209,995352
3250,554000,995166
3300,630708,1001185
3350,2108250,957072
3400,764125,998625
3450,577334,1017802
3500,543167,1007510
3550,908833,1058932
3600,680667,1016770
3650,859417,1006253
3700,1532333,988838
3750,1091458,997798
3800,866459,1005822
3850,769708,1023590
3900,842375,1003822
3950,1694708,999840
4000,1950917,997474
4050,837709,1046364
4100,8775833,958655
4150,923125,1002180
4200,1274042,1010668
4250,267209,1010592
4300,1616500,1009288
4350,1022375,1002569
4400,683583,977373
4450,753750,987296
4500,843208,1024913
4550,845500,1042718
4600,1223625,950796
4650,1037375,959084
4700,634458,980872
4750,796125,998121
4800,787417,966364
4850,1100875,961378
4900,13154333,960272
4950,11984208,974108
5000,1114417,953176
5050,395917,1090250
5100,692250,1098514
5150,886125,1076896
5200,1153625,1085386
5250,771125,1098552
5300,902833,1076242
5350,803458,1084023
5400,923125,1088010
5450,925083,1093162
5500,1870334,1088292
5550,428083,1131944
5600,388583,1083794
5650,985708,1073084
5700,1177583,1090573
5750,976250,1069194
5800,6575417,1023788
5850,1289209,1064804
5900,1228084,1086910
5950,2589417,1083288
6000,683292,1085872
6050,356708,1153002
6100,1531917,1052298
6150,907709,1107512
6200,1033584,1103931
6250,748917,1101601
6300,1086084,1104732
6350,852459,1107759
