Size,Time,Instructions
500,4646286,489095
1000,3275684,504828
1500,54939315,496986
2000,17685098,501912
2500,7694883,500059
3000,5671340,510172
3500,5718710,519967
4000,5695611,513018
4500,6233985,504468
5000,6042759,513064
5500,5942805,494145
6000,5324531,511577
6500,5254844,524726
7000,7061291,523201
7500,6010768,516734
8000,6338634,492535
8500,5426219,517925
9000,6701616,504503
9500,6144456,511703
10000,6089599,506241
10500,16418850,515453
11000,6016475,522189
11500,5990269,504613
12000,45627529,519226
12500,4942392,521006
13000,5548563,525731
13500,6235547,525745
14000,5658108,518614
14500,5913645,504966
15000,5610981,505875
15500,6350138,514647
16000,5045308,513108
16500,4912253,517653
17000,5803230,512678
17500,5383215,504792
18000,7469726,502723
18500,6433765,520040
19000,4950443,520665
19500,5940563,507296
20000,6678962,521882
20500,5390487,522619
21000,7911539,522360
21500,6323009,497484
22000,6147659,506127
22500,6917148,484839
23000,7341301,514314
23500,7027434,503504
24000,7167122,493517
24500,8042650,498498
25000,6790328,823913
25500,6822218,510356
26000,6453770,516063
26500,6500801,519991
27000,5965074,523826
27500,8345132,522165
28000,16655272,511822
28500,7170467,523728
29000,10411780,519747
29500,3647178,518621
30000,8529049,518611
30500,10288216,535593
31000,182307348,489409
31500,10684915,511751
32000,11032104,517949
32500,10660604,493688
33000,89809055,513838
33500,11329735,517014
34000,8629071,504333
34500,8487683,506313
35000,10034365,518989
35500,10339202,498370
36000,14817476,521764
36500,9002349,513407
37000,8334850,528191
37500,7155287,523187
38000,9137645,525634
38500,9917677,517713
39000,8039308,525154
39500,8185481,529706
40000,7787495,503639
40500,8968758,511587
41000,8399423,508932
41500,10143887,539030
42000,931433840,500260
42500,10969592,514061
43000,22439907,513949
43500,8450069,503129
44000,8399338,511113
44500,8169067,518434
45000,4085986,512003
45500,23456191,510383
46000,8359474,515074
46500,8435556,499222
47000,8903655,495618
47500,7802397,514832
48000,8083458,507693
48500,7331438,495969
49000,7493255,531795
49500,6883779,532663
50000,6986156,523467
50500,7558604,514132
51000,6445934,522236
51500,5941757,520137
52000,6055884,516061
52500,50335067,515947
53000,6408303,508695
53500,5933228,793922
54000,6708870,801824
54500,8359680,529887
55000,16675775,535354
55500,1812132,529128
56000,20566207,502934
56500,6863531,502702
57000,7954107,504000
57500,9196504,519881
58000,8148733,511428
58500,8155833,517467
59000,8457479,508383
59500,7736939,522510
60000,8008314,513678
60500,8819973,535707
61000,7955993,521357
61500,8292539,537520
62000,7891328,518687
62500,6799946,507946
63000,8266081,522671
63500,9248826,510178
64000,7749632,512132
64500,7462983,513284
65000,1223088,513826
65500,4801555,532522
66000,2467257,519366
66500,3201992,517822
67000,7816828,539527
67500,7324597,540083
68000,8110094,526725
68500,16323551,520764
69000,55217057,504591
69500,6219171,521532
70000,6156752,515662
70500,8160535,544815
71000,6133574,515158
71500,6354658,520779
72000,6291489,528108
72500,6328637,527459
73000,6746756,524646
73500,5745112,531373
74000,5902557,533929
74500,10348611,524986
75000,5989737,520955
75500,6623840,517121
76000,18919132,524964
76500,6471288,506855
77000,6443170,520854
77500,17658693,520463
78000,6573208,520373
78500,7170530,530153
79000,767997,523903
79500,6380804,502933
80000,6689215,526219
80500,7049867,524115
81000,5853764,537998
81500,5913544,525800
82000,5686892,521627
82500,5615065,515834
83000,5865556,519034
83500,4624800,509737
84000,4993041,539031
84500,5501973,527925
85000,5559888,526257
85500,5421232,521680
86000,6183599,512239
86500,3914508,518725
87000,5514160,528906
87500,5458676,516672
88000,5560342,502474
88500,16021092,517698
89000,5346030,523615
89500,5851908,514397
90000,6580160,524704
90500,6819992,527380
91000,5986907,515419
91500,6833659,520271
92000,7475263,532491
92500,6580184,524140
93000,5944112,520288
93500,5244846,512441
94000,5167357,515470
94500,5480537,527438
95000,15818256,505202
95500,5669949,517338
96000,5700177,508674
96500,5944546,507144
97000,6057240,504027
97500,6597435,513431
98000,15372122,510791
98500,4807721,521937
99000,5816017,512501
99500,53237227,528578
100000,5573174,523174
100500,6976838,524646
101000,6347323,529528
101500,5635306,516526
102000,6061295,531634
102500,5957127,511506
103000,5272006,507965
103500,5035556,522324
104000,16287239,517687
104500,11225650,535935
105000,5806600,524127
105500,76794262,830017
106000,7486594,836354
106500,5082814,835517
107000,6463893,824952
107500,6539833,514087
108000,6913104,519398
108500,3757034,529675
109000,5850777,514524
109500,5715053,529480
110000,5538947,516080
110500,5529051,544829
111000,4956481,519700
111500,5002223,522223
112000,4886001,513436
112500,4808239,520092
113000,16882533,515471
113500,10531108,514032
114000,14981967,518864
114500,8768554,536021
115000,4749411,534694
115500,6954745,524869
116000,5682997,520136
116500,5874299,520651
117000,6189604,523571
117500,6645938,526821
118000,6493234,506306
118500,5995481,519717
119000,6428301,532255
119500,2203076,523669
120000,6390409,505918
120500,663770,520937
121000,4704324,496669
121500,5142852,518682
122000,15225927,525298
122500,5222882,526706
123000,15486866,521334
123500,5515271,507079
124000,6195390,514891
124500,5873419,531124
125000,6445024,518271
125500,6957515,501064
126000,6832937,537259
126500,6265928,529968
127000,5504844,517609
127500,6172835,510098
128000,6111223,518136
128500,5395052,518906
129000,5539931,528021
129500,6079668,520579
130000,5212056,528986
130500,5176848,541629
131000,4760771,502870
131500,4847220,537012
132000,4683619,540396
132500,4889409,523167
133000,4914125,507001
133500,3062822,511074
134000,5323520,519007
134500,7636808,522414
135000,5524340,502339
135500,6926666,534369
136000,23619894,506365
136500,6794729,516368
137000,16751551,520271
137500,6369536,513908
138000,6310212,525004
138500,6134792,518370
139000,6054708,529186
139500,5942619,526079
140000,5391743,502198
140500,5872414,526890
141000,4864943,521631
141500,5064547,521527
142000,42631074,531381
142500,77913641,519662
143000,2957496,525523
143500,8878229,537981
144000,6287813,508463
144500,5244650,524075
145000,6394065,532641
145500,7185831,526009
146000,5415550,503620
146500,7104158,509154
147000,6061270,513258
147500,6638445,520255
148000,7113738,523398
148500,5907119,495204
149000,5851140,502143
149500,6093868,515935
150000,5417896,548977
150500,5391345,526275
151000,4825840,521430
151500,4592101,527833
152000,5127454,519486
152500,4923067,520689
153000,13843689,527418
153500,6207069,520260
154000,6392507,507655
154500,3477967,533792
155000,7157708,521384
155500,1360525,529165
156000,5786206,515162
156500,669003,512433
