Size,Time,Cycles,Price,Instructions,HeapSize,TotalHeapSize
1,2223583624,143873,1.9422855e-14,1954,204,2200464
5001,3320692304,144253,1.9474155e-14,9282,372,4608624
10001,3203217230,147350,1.9892250000000003e-14,9786,372,7084596
15001,4621100544,147350,1.9892250000000003e-14,9786,372,9557504
20001,2377021909,144313,1.9482255e-14,11239,444,12183152
25001,2899555970,144327,1.9484145000000004e-14,11707,444,14902232
30001,4983683485,147395,1.9898325e-14,11239,444,17619804
35001,2119750181,144328,1.9484280000000002e-14,11743,444,20337848
40001,523009071,144328,1.9484280000000002e-14,11743,444,23055936
45001,2365195564,144328,1.9484280000000002e-14,11743,444,25773612
50001,32740835,144629,1.9524915e-14,16470,444,28492936
55001,2802513409,144514,1.9509390000000003e-14,12741,444,31215604
60001,3366339427,144531,1.9511685e-14,13286,444,11476400
65001,3479419805,153688,2.074788e-14,12275,444,14199668
70001,29632981,144532,1.951182e-14,13312,444,16917872
75001,2169790844,144516,1.950966e-14,12815,444,19639844
80001,2405810797,153704,2.075004e-14,12815,444,22355636
85001,2607933865,144532,1.951182e-14,13333,444,25078216
90001,2338777501,144532,1.951182e-14,13340,444,27801036
95001,3901343065,153720,2.07522e-14,13318,444,30523020
100001,2894029741,153860,2.0771100000000003e-14,17883,444,33242716
105001,2855585906,144583,1.9518704999999998e-14,14974,444,18100824
110001,2833979019,144536,1.9512359999999998e-14,13464,444,20820868
115001,4414626631,153757,2.0757195e-14,14526,444,23539640
120001,2370393542,144568,1.9516680000000003e-14,14506,444,26263188
125001,2694691445,144536,1.9512359999999998e-14,13464,444,28984768
130001,2068811292,144585,1.9518975e-14,15038,444,31705080
135001,62918694,144569,1.9516815e-14,14514,444,34429056
140001,4334090180,153756,2.075706e-14,14485,444,37151248
145001,2081185686,153757,2.0757195e-14,14514,444,39872936
150001,2239100412,144539,1.9512764999999998e-14,13545,444,42592516
155001,4070555513,144591,1.9519785000000002e-14,15234,444,45315464
160001,3598726365,144594,1.9520190000000002e-14,15346,444,48036200
165001,2132881175,153797,2.0762595e-14,15827,444,50758120
170001,3685543383,4704982,6.3517257e-13,19604,-31357500,42136184
175001,2120263257,144578,1.9518030000000003e-14,14834,444,44859856
180001,3003842528,156836,2.117286e-14,15372,444,47581852
185001,2063274330,156866,2.1176910000000002e-14,16352,444,50301460
190001,3700043879,156835,2.1172725e-14,15331,444,53023484
195001,4017188200,144609,1.9522215000000004e-14,15843,444,55744072
200001,2872351897,144573,1.9517355e-14,14665,444,58465184
205001,4465365149,156964,2.1190140000000002e-14,19533,444,61185916
210001,3676054867,156822,2.1170970000000002e-14,14920,444,63908892
215001,3060171073,144612,1.9522620000000003e-14,15928,444,66626600
220001,121587131,144613,1.9522755e-14,15964,444,69347320
225001,4204562751,156854,2.117529e-14,15949,444,72065560
230001,158797659,144565,1.9516275000000003e-14,14403,444,74787216
235001,3450229841,156823,2.1171105e-14,14942,444,77510320
240001,3305733425,156853,2.1175155000000002e-14,15936,444,80227688
245001,3374056595,144614,1.952289e-14,15990,444,82949616
250001,4229017383,156824,2.117124e-14,14987,444,85670648
255001,2421288090,144716,1.9536660000000003e-14,19316,444,88390076
260001,2952532355,144590,1.951965e-14,15220,444,91110908
265001,3990747697,144573,1.9517355e-14,14666,444,93838172
270001,2063922554,144557,1.9515195e-14,14129,444,96556816
275001,2940098535,156830,2.117205e-14,15178,444,99280048
280001,2918278873,144574,1.9517490000000002e-14,14695,444,102002364
285001,2530779194,144605,1.9521675e-14,15685,444,104720160
290001,4222969544,144589,1.9519515e-14,15168,444,107445960
295001,3226408930,144591,1.9519785000000002e-14,15241,444,110169004
300001,2363177398,144751,1.9541384999999998e-14,20440,444,112888428
305001,4240993532,156921,2.1184335e-14,18150,516,115708440
310001,2072605284,156950,2.1188250000000002e-14,19078,516,118664916
315001,52021107,24161239,3.261767265e-12,24340,30766716,160599576
320001,2060363236,144667,1.9530045e-14,17719,516,67786476
325001,889170738,144683,1.9532205e-14,18237,516,70749700
330001,4122307533,163029,2.2008915e-14,18201,516,73709828
335001,3805321201,144682,1.9532070000000003e-14,18208,516,76673964
340001,2441864338,144699,1.9534365e-14,18749,516,79638972
345001,3808131773,144682,1.9532070000000003e-14,18208,516,82598816
350001,2682034736,144665,1.9529775e-14,17652,516,85561180
355001,2592646490,162979,2.2002165000000002e-14,16570,516,88523640
360001,2957133239,144656,1.9528560000000004e-14,17347,540,91486780
365001,2991344367,162964,2.200014e-14,16073,516,94446404
370001,3116944734,162964,2.200014e-14,16073,516,97406724
375001,2219097070,144633,1.9525455e-14,16611,516,100367516
380001,2728058259,144648,1.9527480000000002e-14,17094,516,103326796
385001,4238280867,144648,1.9527480000000002e-14,17102,516,106292376
390001,2742679846,144650,1.952775e-14,17171,516,109257112
395001,2659491285,144650,1.952775e-14,17159,516,112219700
400001,4968488339,144700,1.9534500000000004e-14,18772,516,115185224
405001,4951468399,163028,2.200878e-14,18179,516,118145592
410001,3470985040,144697,1.9534095000000004e-14,18705,516,121106752
415001,2064825992,144697,1.9534095000000004e-14,18704,516,124071424
