Size,Time,Cycles,Price,Instructions,HeapSize,TotalHeapSize
1,4448029297,179568,2.424168e-14,13010,1560,2198792
5001,2120420205,179931,2.4290685e-14,19842,1648,4606712
10001,2718301197,179947,2.4292845000000002e-14,20346,1648,7082684
15001,665295889,179947,2.4292845000000002e-14,20346,1648,9555592
20001,2239152552,179981,2.4297435000000002e-14,21454,1680,12181136
25001,5631900302,183077,2.4715395000000003e-14,21922,1680,14900216
30001,4350716791,179981,2.4297435000000002e-14,21454,1680,17617788
35001,4555622641,183078,2.471553e-14,21958,1680,20335832
40001,2436843255,183078,2.471553e-14,21958,1680,23053920
45001,2221963548,183078,2.471553e-14,21958,1680,25771596
50001,2727743405,180272,2.433672e-14,25977,1680,28490920
55001,2463686031,180179,2.4324165000000002e-14,22961,1680,31213588
60001,557849890,4039593,5.45345055e-13,29772,-31356252,11474384
65001,3432349390,180165,2.4322275e-14,22490,1680,14197652
70001,1025659949,180196,2.4326460000000002e-14,23527,1680,16915856
75001,1438596720,180181,2.4324435e-14,23030,1680,19637828
80001,3381299521,180181,2.4324435e-14,23030,1680,22353620
85001,2975784721,180197,2.4326595e-14,23553,1680,25076200
90001,2780700990,180197,2.4326595e-14,23555,1680,27799020
95001,30824919,180197,2.4326595e-14,23538,1680,30521004
100001,2086029460,180303,2.4340905e-14,26989,1680,33240700
105001,2248190641,17052795,2.302127325e-12,33475,14486104,51653228
110001,304262340,180234,2.433159e-14,24754,1680,20818852
115001,4141647551,180220,2.4329700000000002e-14,24285,1680,23537624
120001,2059435711,180233,2.4331455000000002e-14,24720,1680,26261172
125001,3430168649,180234,2.433159e-14,24754,1680,28982752
130001,2052320113,180236,2.4331860000000002e-14,24797,1680,31703064
135001,74699120,180233,2.4331455000000002e-14,24728,1680,34427040
140001,3436980408,180218,2.432943e-14,24216,1680,37149232
145001,2962021806,180217,2.4329295000000003e-14,24203,1680,39870920
150001,3080366137,180237,2.4331995000000003e-14,24855,1680,42590500
155001,29745198,180243,2.4332805000000002e-14,25028,1680,45313448
