Size,Time,Cycles,Price,Instructions,HeapSize,TotalHeapSize
5000,4421073849,17132924,2.3129447400000003e-12,100933376,2406292,4603524
10000,2358369674,18260237,2.465131995e-12,112728688,2473904,7077428
15000,2095320704,18401267,2.4841710450000003e-12,117212000,2471660,9549088
20000,3194298043,18568794,2.5067871900000004e-12,122756789,2612488,12161576
25000,3189187531,18720694,2.52729369e-12,127693541,2711052,14872628
30000,4208042212,18719558,2.52714033e-12,127556465,2712524,17585152
35000,2532879273,18731166,2.5287074100000002e-12,128033884,2713392,20298544
40000,4392267868,18874320,2.5480332000000002e-12,132686385,2713948,23012492
45000,3090825870,18857269,2.545731315e-12,132132231,2714024,25726516
50000,3161698200,18873067,2.547864045e-12,132645666,2712308,28438824
55000,2249551837,19936439,2.691419265e-12,142127594,2717328,31156152
60000,4509494581,34003035,4.590409725e-12,141154324,11624728,42780880
65000,3185464230,24679983,3.3317977050000005e-12,165824984,-28643808,14137072
70000,3424516943,19901955,2.6867639250000004e-12,140808413,2720400,16857472
75000,2353139364,19896158,2.6859813300000004e-12,140918629,2716524,19573996
80000,3351855554,19921881,2.6894539350000003e-12,141456008,2719676,22293672
85000,2755302039,19881650,2.68402275e-12,140447122,2716484,25010156
90000,2083179174,19909189,2.6877405150000002e-12,141342144,2717048,27727204
95000,2374585851,19959267,2.6945010450000002e-12,142969684,2720624,30447828
100000,4223531944,19913249,2.688288615e-12,141474073,2716308,33164136
105000,3474850581,31413200,4.240782e-12,143438509,3926864,37091000
110000,4805414600,42445745,5.730175575e-12,178488233,17223668,54314668
115000,2183969627,21114116,2.8504056599999998e-12,170911237,-30837192,23477476
120000,4315814955,20099402,2.71341927e-12,147225443,2716032,26193508
125000,2407174347,20038659,2.7052189649999998e-12,145549912,2718200,28911708
130000,4707744132,20078271,2.7105665850000004e-12,146538695,2717896,31629604
135000,2321959340,20102367,2.713819545e-12,147620401,2715140,34344744
140000,4030882301,20066540,2.7089829e-12,146456042,2716752,37061496
145000,2211081895,20079661,2.710754235e-12,146882481,2719860,39781356
150000,2226333246,20064932,2.70876582e-12,146403772,2719212,42500568
155000,4692547747,20070575,2.7095276250000003e-12,146288566,2717724,45218292
160000,2614407400,20039181,2.7052894350000002e-12,145566872,2716088,47934380
165000,3934897830,20053942,2.7072821700000004e-12,145747983,2720296,50654676
170000,2067663045,31039751,4.190366385e-12,147004626,2719308,53373984
175000,2773951477,45971780,6.206190300000001e-12,187018266,22743672,76117656
180000,3217401429,33509887,4.523834745e-12,171107151,-28639420,47478236
185000,2164368423,20031011,2.7041864850000005e-12,145301340,2717596,50195832
190000,3119762849,20098485,2.713295475e-12,147096427,2715648,52911480
195000,802381673,20117088,2.71580688e-12,148098846,2715788,55627268
200000,2244726686,20256411,2.7346154850000002e-12,152626832,2719976,58347244
205000,3447603695,20224603,2.730321405e-12,151593085,2722284,61069528
210000,3643168976,20215299,2.7290653650000003e-12,151290701,2718280,63787808
215000,2233191005,20209013,2.728216755e-12,151086421,2717496,66505304
220000,2779892275,20201805,2.727243675e-12,150852160,2715988,69221292
225000,4206406568,20252204,2.73404754e-12,152092154,2715400,71936692
230000,3204940049,20191295,2.725824825e-12,150510589,2718540,74655232
235000,3977753093,20248229,2.733510915e-12,151963092,2718460,77373692
240000,2303360001,20197711,2.7266909850000002e-12,150719092,2717192,80090884
245000,4167841268,20217519,2.729365065e-12,151362863,2716584,82807468
250000,2793648312,20228940,2.7309069e-12,151336211,2712732,85520200
255000,4081585077,20230030,2.73105405e-12,151769452,2717952,88238152
260000,2491676945,20233107,2.7314694449999997e-12,151869481,2714568,90952720
265000,3985537270,20229550,2.7309892500000002e-12,151356029,2718600,93671320
270000,3568060617,20246949,2.733338115e-12,152319346,2716072,96387392
275000,3144711483,20190045,2.725656075e-12,150469946,2717868,99105260
280000,2228717536,20264063,2.735648505e-12,152477693,2717748,101823008
285000,4054554990,20218719,2.7295270650000002e-12,151401846,2721000,104544008
290000,2285020920,20223166,2.73012741e-12,151546370,2718348,107262356
295000,3804104201,20251654,2.73397329e-12,152074407,2714428,109976784
300000,2904397070,20290358,2.73919833e-12,153730115,2717956,112694740
305000,3445798137,20417660,2.7563841e-12,157867456,2742872,115437612
310000,2791934289,20524075,2.770750125e-12,161325914,2958988,118396600
315000,2965283369,29593211,3.995083485e-12,160500765,2961952,121358552
320000,2127639081,40404434,5.45459859e-12,206698447,2958420,124316972
325000,3035119629,52848375,7.134530625e-12,206235858,37231384,161548356
330000,2462555847,40991964,5.53391514e-12,196809055,10367988,171916344
335000,3227003420,36903703,4.981999905e-12,189024472,2959916,174876260
340000,2202245990,23357180,3.1532193e-12,187469811,-95424276,79451984
345000,2480558195,20513187,2.769280245e-12,160972058,2956668,82408652
350000,3216116860,20525749,2.770976115e-12,161380344,2959372,85368024
355000,2136597642,20501034,2.7676395899999998e-12,159881626,2958772,88326796
360000,4286494912,20562907,2.7759924449999997e-12,162587954,2953164,91279960
365000,2438169283,20503582,2.7679835700000003e-12,160659901,2957996,94237956
370000,2216990777,20582748,2.77867098e-12,162537320,2957116,97195072
375000,2414129621,20526124,2.7710267400000002e-12,161392528,2957492,100152564
380000,2416921944,20590839,2.7797632650000005e-12,162800298,2956080,103108644
385000,2579529337,20509820,2.7688257e-12,160862630,2952508,106061152
390000,2478934258,20568696,2.7767739600000004e-12,162776101,2956668,109017820
395000,2382921654,20536120,2.7723762e-12,161021923,2957024,111974844
400000,2744429908,20516039,2.769665265e-12,161064777,2958940,114933784
405000,2431716188,20536264,2.77239564e-12,161722072,2958312,117892096
