Size,Time,Instructions
5000,512500,6596
10000,2057750,7720
15000,316750,4112
20000,306791,9295
25000,915542,9320
30000,1554541,9193
35000,424959,9151
40000,1484375,10263
45000,1525125,9660
50000,636334,7119
55000,876917,11103
60000,411209,6638
65000,1219791,10930
70000,1068959,11104
75000,565291,11012
80000,1568458,10506
85000,765334,7728
90000,436167,10405
95000,1663541,10953
100000,1100250,11366
105000,311167,10439
110000,583291,4479
115000,2303541,11024
120000,1030208,10961
125000,681625,11857
130000,1216375,11003
135000,1641500,11509
140000,1143125,10982
145000,975750,10216
150000,1971583,10970
155000,721750,8241
160000,974958,11546
165000,1663708,12042
170000,300875,8284
175000,1162750,10897
180000,1292250,11010
185000,1117042,10864
190000,907958,10182
195000,1376583,10212
200000,357250,8725
205000,809166,8697
210000,1757542,8213
215000,544416,9197
220000,1283083,10768
225000,1367417,10780
230000,999042,7509
235000,1014750,12102
240000,1148416,9058
245000,880584,11879
250000,2394375,11343
255000,1359125,11887
260000,516583,5561
265000,1563500,11470
270000,354167,4980
275000,206334,12585
280000,1929291,8171
285000,2881542,10894
290000,645250,11474
295000,2181291,10827
300000,232875,11857
305000,302458,12503
310000,1801584,7825
315000,438208,8018
320000,264875,11546
325000,2314125,11777
330000,277083,13432
335000,219625,11293
340000,265250,12299
345000,873208,12422
350000,2346833,8381
355000,2618333,11689
360000,496625,10199
365000,270250,7850
370000,2814375,13444
375000,4868800834,11815
380000,261334,9522
385000,1571417,12311
390000,1988292,11795
395000,1452666,12990
400000,1832584,9113
405000,1649750,9602
410000,1065375,11004
415000,1906084,12417
420000,15283000,9677
425000,1159416,8698
430000,256417,12990
435000,1022875,6029
440000,3418459,12820
445000,2723500,12421
450000,2040708,9568
455000,3832750,12723
460000,2727417,12888
465000,890042,8663
470000,1261833,12510
475000,2260083,11117
480000,2486708,9134
485000,1814375,9211
490000,200500,10722
495000,2871125,12362
500000,2898625,13095
505000,298792,12115
510000,3070875,11436
515000,1971500,13638
520000,3056750,14421
525000,3598417,14323
530000,2607000,10888
535000,2963291,13657
540000,331583,13608
545000,2421250,10270
550000,1780333,12404
555000,3077583,10935
560000,2860666,10880
565000,1420583,11036
570000,2304625,14020
575000,1868375,12510
580000,1747166,11831
585000,2404667,13070
590000,2236375,10762
595000,3514958,13646
600000,3183750,12319
605000,628625,12357
610000,1041792,9647
615000,1088334,12438
620000,1243250,13256
625000,1088708,11832
630000,1010958,13659
635000,1498666,13696
640000,960833,9269
645000,2076125,11402
650000,969458,10417
655000,2964791,13255
660000,1694833,11284
665000,2532250,12576
670000,1595125,13157
675000,1341667,11423
680000,3451375,13806
685000,802209,13629
690000,2820542,13267
695000,1884791,10964
700000,2006833,12479
705000,1632834,13843
710000,1701709,12593
715000,2140500,13573
720000,1974916,13713
725000,1734375,13485
730000,3001750,13633
735000,2056459,11330
740000,2199375,14175
745000,1937084,13158
750000,1740792,12497
755000,1812791,10444
760000,2310792,14163
765000,1553000,11036
770000,1899417,14286
775000,207417,14348
780000,1214334,14281
785000,273292,11747
790000,2105208,14323
795000,1166042,9815
800000,2453500,14399
805000,1368625,13693
810000,6598417,14234
815000,1507167,9765
820000,1728708,9205
825000,1860500,13591
830000,1778250,12926
835000,1925375,12353
840000,1672833,10784
845000,2127459,14344
850000,1541333,14174
855000,1542584,11857
860000,2744500,13515
865000,1427000,6414
870000,1532875,13571
875000,2105750,12884
880000,533375,10776
885000,2199250,12935
890000,2320417,11385
895000,2902334,14226
900000,2016750,10254
905000,2744375,14064
910000,2123250,12787
915000,16330166,14187
920000,2533542,14706
925000,2764958,12252
930000,269167,14041
935000,1779375,10863
940000,2709292,14075
945000,274542,13638
950000,237292,9803
955000,960167,13166
960000,1897125,14059
965000,2953375,13445
970000,3091375,13528
975000,2845541,13587
980000,2702458,14121
985000,1468833,10182
990000,2344625,11415
995000,601500,10829
1000000,1717250,14134
1005000,1270833,12714
1010000,1466250,14808
1015000,972708,13583
1020000,931541,12257
1025000,1128584,14323
1030000,1150792,12273
1035000,1040083,11293
1040000,1538833,13685
1045000,1240791,13592
1050000,1456917,9609
1055000,1246542,13613
1060000,3792375,10132
1065000,1336458,10829
1070000,1213959,14669
1075000,1999750,13671
1080000,1924875,13470
1085000,1370042,13060
1090000,1412333,13516
1095000,1325375,14125
1100000,2760708,12164
1105000,1398875,11187
1110000,1478625,14204
1115000,1959333,14709
1120000,1503708,14701
1125000,494541,13103
1130000,1161750,12573
1135000,374583,5880
1140000,863917,13840
1145000,3275125,14226
1150000,1395791,13662
1155000,1568708,13069
1160000,750208,10663
1165000,1365125,14311
1170000,1449792,14134
1175000,1070875,13904
1180000,1375375,14108
1185000,1367791,11355
1190000,1471875,13680
1195000,1755625,10780
1200000,1417750,8986
1205000,1413459,13010
1210000,1343208,11212
1215000,751250,7559
1220000,1406666,9516
1225000,1834208,14057
1230000,365042,10867
1235000,322750,14193
1240000,3397791,14192
1245000,309792,14084
1250000,3290375,10791
1255000,2140041,12506
1260000,2928583,14402
1265000,3569375,13623
1270000,3003250,12433
1275000,1162500,14202
1280000,845916,7017
1285000,1259000,14302
1290000,1424583,13570
1295000,1454208,14840
1300000,1735375,12829
1305000,3496708,14276
1310000,1812083,13558
1315000,1002708,8426
1320000,1591333,10220
1325000,5172500,14241
1330000,13105709,14697
1335000,1168708,14180
1340000,1525250,13423
1345000,998792,9564
1350000,2038375,14630
1355000,1416917,10278
1360000,1577292,14807
1365000,285209,14240
1370000,245542,12893
1375000,4399625,14656
1380000,2094791,10232
1385000,454708,11465
1390000,2362625,14088
1395000,2593166,14685
1400000,2261667,14820
1405000,3168000,13201
1410000,1876917,13145
1415000,2348875,13688
1420000,2852750,11330
1425000,4283083,14188
1430000,1427667,14218
1435000,1879250,14214
1440000,4510125,14108
1445000,1195833,14883
1450000,1181333,13713
1455000,340833,13595
1460000,290500,14684
1465000,778083,10742
1470000,296625,14736
1475000,883916,13406
1480000,30054708,12307
1485000,329500,13406
1490000,32000416,14125
1495000,654125,11844
1500000,331333,13532
1505000,848291,14000
1510000,2215209,14625
1515000,2310292,11351
1520000,2019667,10888
1525000,5063708,13574
1530000,2049667,10812
1535000,2882291,14798
1540000,2381208,13031
