Size,Time,Instructions
5000,807904,1235170
10000,75113986,1296847
15000,10115776,1257540
20000,11610712,1259718
25000,624434,1273773
30000,11395323,1257936
35000,719075,1281052
40000,11810638,1249650
45000,12038130,1235711
50000,30957925,1244824
55000,10867221,1253901
60000,14468448,2073920
65000,11790510,1230378
70000,32604885,1312714
75000,9101831,1287142
80000,12843208,1310461
85000,10077300,1300848
90000,660743,1247750
95000,11642319,1240820
100000,11941834,1264068
105000,12581964,2015942
110000,643958,2033403
115000,12221558,1264963
120000,10778384,1252169
125000,12050824,1309029
130000,9609395,1263203
135000,10031590,1305821
140000,117260291,1303184
145000,453694,1240178
150000,514375,1271113
155000,13469477,1298026
160000,9620294,1292875
165000,561577,1278255
170000,515046296,2083481
175000,27098640,2069890
180000,513781,1236727
185000,12540840,1235885
190000,494551,1276092
195000,7127370,1266072
200000,538725,1259408
205000,481678,1282615
210000,308668921,1294356
215000,32970947,1265667
220000,10973993,1274623
225000,11419840,1293509
230000,12568131,1291134
235000,11912540,1283023
240000,12258266,1271694
245000,11958934,1279115
250000,515188,1258517
255000,12532529,1276884
260000,505426,1248176
265000,11178922,1240267
270000,11896822,1260619
275000,12010774,1253004
280000,482666,1268657
285000,489721,1260423
290000,11552918,1268818
295000,9758061,1293256
300000,10738778,1254996
305000,507947,1274746
310000,559003,1254254
315000,12509352,2166820
320000,12169690,2092804
325000,510333,2006904
330000,10262763,2059898
335000,439684,2127189
340000,845097281,1280580
345000,12145400,1293162
350000,10626139,1261247
355000,13216129,1261418
360000,12277994,1261746
365000,12273479,1281907
370000,546561,1246564
375000,11094856,1282103
380000,12144277,1245694
385000,10405763,1289743
390000,26712706,1281281
395000,12166153,1272185
400000,358120184,1265771
405000,13694081,1287753
410000,9593497,1272950
415000,379268,1248388
420000,536781,1324177
425000,9724012,1246337
430000,9102912,1241358
435000,10988872,1280598
440000,12124537,1268065
445000,29340212,1326525
450000,31707095,1266436
455000,13229956,1260296
460000,32770842,1246721
465000,9950382,1243740
470000,12318137,1316935
475000,30045130,1275226
480000,10227201,1308457
485000,462053,1283788
490000,10087117,1268855
495000,443028,1256251
500000,9327268,1256471
505000,408763,1280291
510000,11263175,1279827
515000,10546715,1316734
520000,9635119,2149154
525000,10411474,2081460
530000,9731757,2108496
535000,476990,2071239
540000,9062880,2085876
545000,11112555,2043174
550000,12191256,2014425
555000,32401615,1277834
560000,10671749,1303760
565000,502492,1294167
570000,550373,1303358
575000,11385993,1267495
580000,25191246,1287885
585000,12103027,1279772
590000,11451935,1273472
595000,11213763,1311918
600000,12822702,1322003
605000,11012494,1296424
610000,30491584,1278457
615000,599645,1296375
620000,13898061,1306070
625000,11527039,1251750
630000,10425614,1266541
635000,533390,1262288
640000,28153511,1312870
645000,11237919,1303143
650000,737370,1264757
655000,792622,1257508
660000,12541007,1250157
665000,12840527,1289752
670000,12013635,1257292
675000,12319886,1255240
680000,11737981,1248774
685000,425248,1269745
690000,10659942,1291988
695000,1304335,1277561
700000,426082,1253303
705000,13610417,1276320
710000,28946375,1283968
715000,12042934,1323452
720000,27529195,1292326
725000,10038900,1301688
730000,426844,1273525
