Size,Time,Cycles,Instructions
100,2066216166,505866,726328
200,2060973917,555353,935559
300,2062285541,529633,982814
400,2049518000,580591,936334
500,2057173708,531089,1028245
600,2063136792,608324,1014728
700,2067072625,531120,1031144
800,2062190458,638251,1153783
900,2058393666,532550,1077611
1000,2064764292,661654,1083631
1100,2064157375,551835,1220606
1200,2065546709,551873,1221841
1300,2063154167,722060,1278548
1400,2062303500,549517,1145279
1500,2064948583,552137,1227565
1600,2063588917,758302,1225491
1700,2061488584,551767,1218390
1800,2056937459,552914,1255681
1900,2063556708,798468,1291177
2000,2063858125,553190,1261186
2100,2063336209,555014,1323920
2200,2063061709,836349,1238816
2300,2053796041,552246,1233966
2400,2060805000,554659,1312369
2500,2064093167,552680,1244437
2600,2065071625,886951,1228688
2700,2064733666,554465,1306070
2800,2061764708,552288,1235339
2900,2062547875,552514,1242662
3000,2066102708,941160,1329354
3100,2065927667,554680,1313063
3200,2062748791,552862,1253969
3300,2058999166,551739,1217473
3400,2062527833,993171,1325857
3500,2062297500,554508,1302670
3600,2063818958,553933,1288804
3700,2063284750,556053,1357696
3800,2064431167,553702,1281269
3900,2057769625,1055328,1279827
4000,2064428958,555218,1325198
4100,2065253583,554195,1297301
4200,2060342000,554770,1315996
4300,2065422084,553534,1275835
4400,2052407333,1122193,1346495
4500,2056945500,555834,1344617
4600,2065028250,553350,1269846
4700,2063827666,555962,1354733
4800,2064523041,555982,1355378
4900,2063112292,552822,1252671
5000,2054512417,1198993,1356516
5100,2060324541,556677,1377965
5200,2063014708,555978,1355248
5300,2066287625,554312,1301120
5400,2065539417,554046,1292451
5500,2064330542,557635,1402569
5600,2053570500,1276376,1347790
5700,2053557833,555526,1340564
5800,2065473209,558083,1423657
5900,2063337625,555372,1335555
6000,2053619042,556131,1353108
6100,2066182625,556573,1374598
6200,2065298083,556580,1374807
6300,2048197291,1367356,1366430
6400,2058894708,555196,1329833
6500,2066031208,557609,1400357
6600,2064958917,555728,1347111
6700,2063823542,555604,1343089
6800,2066194417,557901,1417749
6900,2064469542,554993,1323255
7000,2051629416,1455339,1331493
7100,2061453291,557526,1397093
7200,2064452084,555021,1324139
7300,2060245042,555537,1340921
7400,2062018791,553696,1281093
7500,2065965875,555877,1351971
7600,2064521084,556263,1356045
7700,2052009542,552917,1255788
7800,2058708875,1559166,1359706
7900,2061828083,555185,1329491
8000,2063953792,554513,1307644
8100,2065103667,556115,1350431
8200,2064997125,555499,1339695
8300,2064275250,556229,1363417
8400,2046172875,554394,1303769
8500,2051661250,554284,1300204
8600,2063653667,556678,1368735
8700,2065451125,1673315,1299609
8800,2063280792,553975,1290142
8900,2065470708,556679,1378027
9000,2062878917,554132,1295250
9100,2064294708,556038,1346965
9200,2046475458,553921,1288394
9300,2051751791,556152,1360924
9400,2037682291,554965,1322335
9500,2057477625,553772,1283557
9600,2063092875,556376,1357955
9700,2064112125,1801520,1288367
9800,2063045416,554185,1296985
9900,2063895291,554008,1291221
10000,2063321250,553515,1275197
