Size,Time,Cycles,Price,Instructions,HeapSize,TotalHeapSize
1,3750999625,17929519,2.420485065e-12,10951,158180,159276
5001,3470205375,17958005,2.4243306750000004e-12,15040,170080,935560
10001,3650537375,17959010,2.42446635e-12,15575,171792,1723180
15001,3360936084,17959455,2.424526425e-12,15720,172280,2508780
20001,2826897000,17962038,2.42487513e-12,16559,174852,3297540
25001,3553554375,17962472,2.4249337199999997e-12,16701,175504,4083256
30001,3344976541,17962035,2.424874725e-12,16559,175368,4870812
35001,3044854959,17963546,2.42507871e-12,17049,176016,5656664
40001,3112087875,17965324,2.4253187400000004e-12,17070,176772,6443376
45001,3493141792,17963755,2.4251069249999998e-12,17117,176604,7230196
50001,3594736875,24721017,3.3373372950000002e-12,19163,-3654376,7970776
55001,3107343917,17983416,2.42776116e-12,18564,178488,12678000
60001,3472873875,17985827,2.428086645e-12,18485,179232,9589328
65001,3451905459,17982406,2.42762481e-12,18235,178456,14295904
70001,3633459375,17983757,2.4278071949999997e-12,18675,179184,11160344
75001,3640952708,17984065,2.4278487749999997e-12,17819,177528,15872016
80001,3708222833,17983646,2.42779221e-12,18638,179736,12732148
85001,3358765459,17985516,2.42804466e-12,18196,178664,17432488
90001,2832741417,17984111,2.427854985e-12,18788,179716,14303052
95001,3582219750,17985624,2.42805924e-12,18137,178476,19070712
100001,3701073125,17984229,2.4278709150000003e-12,18828,178248,15873164
105001,3845442958,17989548,2.42858898e-12,19320,180348,20622656
110001,3972104875,17985510,2.42804385e-12,19243,180444,17445392
115001,3712860541,17985771,2.4280790850000002e-12,19328,180256,22272296
120001,3614328625,34145221,4.609604835e-12,19075,-7974780,18969624
125001,3574146250,17985513,2.428044255e-12,19245,179976,23777212
130001,3114412666,17985963,2.428105005e-12,19392,180880,28637656
135001,3252456167,17986038,2.42811513e-12,19415,181032,21372420
140001,3764962000,17985154,2.42799579e-12,19129,180292,26196716
145001,2969257584,17985679,2.4280666649999998e-12,19298,180864,31036008
150001,3541658792,17987541,2.428318035e-12,19904,181596,23728076
155001,3751380542,17988993,2.428514055e-12,18551,178164,28577276
160001,3487468416,17984046,2.4278462100000003e-12,18767,180300,33412024
165001,2822919042,17989833,2.428627455e-12,18683,180656,26084956
170001,3399504708,17984446,2.42790021e-12,18900,180108,30911088
175001,3607352334,17988609,2.428462215e-12,18286,179136,35724128
180001,3384180416,17984971,2.427971085e-12,19070,180876,28441916
185001,3463869333,17984400,2.4278940000000004e-12,18882,180236,33244932
190001,3212619000,17984844,2.4279539399999997e-12,19027,180588,38088936
195001,2847497458,17984660,2.4279291000000004e-12,18968,180372,42886192
200001,3643810750,17991145,2.428804575e-12,18666,178272,31580032
205001,3165056500,17987407,2.428299945e-12,19861,182100,36492084
210001,3157868042,17993436,2.42911386e-12,19409,181708,41460824
215001,3641120916,17987597,2.4283255949999997e-12,19922,182256,46432076
220001,3544233583,17993789,2.4291615149999997e-12,19327,181444,34725992
225001,3369204208,17987997,2.428379595e-12,20052,182852,39693380
230001,3547008416,17987211,2.428273485e-12,19795,182076,44633828
235001,4297474084,17992450,2.42898075e-12,18890,180036,49591456
240001,3751831416,17986917,2.4282337950000004e-12,19702,182236,37867176
245001,2788772375,17987470,2.42830845e-12,19879,182028,42829132
250001,3527178750,17986615,2.428193025e-12,19602,180348,47793044
255001,3812997958,17985881,2.428093935e-12,19366,180772,52717024
260001,3835188125,53001887,7.155254745e-12,19339,-16605640,40895068
265001,3671141375,17985628,2.42805978e-12,19283,180692,45848220
270001,3732119709,17995858,2.42944083e-12,19621,181032,50798516
275001,3060876334,17986186,2.42813511e-12,19464,180840,55727888
280001,4247954000,17987021,2.428247835e-12,19736,181572,60703156
285001,2747930375,17997600,2.429676e-12,19839,181548,44938112
290001,3434501042,17986908,2.42823258e-12,19701,181440,49889776
295001,3362200875,17996440,2.4295194000000004e-12,19460,181032,54856164
300001,3623219917,17997140,2.4296139e-12,19691,180824,59801656
305001,3636691083,17986282,2.42814807e-12,19494,181268,64747480
310001,2864684334,17989430,2.4285730499999998e-12,20517,182760,48867928
315001,3517130791,17988682,2.42847207e-12,20274,182628,53959632
320001,3337303333,17990010,2.42865135e-12,20707,185172,59177480
325001,3356138333,17999506,2.4299333100000003e-12,20221,184104,64427548
330001,3391154500,17990060,2.4286581000000004e-12,20724,184464,69655220
335001,3594968583,18001119,2.4301510650000002e-12,20480,183936,52799820
340001,3657129834,17989425,2.428572375e-12,20516,184668,58044068
345001,3601887125,17988016,2.4283821600000003e-12,20058,183456,63240424
350001,5134968750,18003508,2.43047358e-12,21257,185028,68476908
355001,3450758292,17990637,2.4287359950000003e-12,20911,186224,73696204
360001,4068283750,18002303,2.430310905e-12,20864,185660,78976504
365001,3568239166,18002295,2.4303098250000003e-12,20444,185312,57511712
370001,3866440834,17988329,2.4284244150000003e-12,20159,183864,62776272
375001,3410152250,18002571,2.430347085e-12,20533,184836,68039280
380001,3429250250,18002543,2.4303433050000005e-12,20527,184872,73266148
385001,3721528458,17990664,2.4287396399999997e-12,20917,185304,78536984
