Size,Time,Cycles,Price,Instructions,HeapSize,TotalHeapSize
1,2120781667,179117,2.4180795e-14,5150,1368,3944
5001,2271273208,179456,2.422656e-14,11218,1544,769444
10001,2203932875,179472,2.4228719999999998e-14,11731,1556,1556984
15001,2049875917,179472,2.4228719999999998e-14,11731,1556,2342600
20001,31304291,179502,2.4232769999999998e-14,12711,1592,3128672
25001,2227054708,180769,2.4403815000000003e-14,12711,1592,3913500
30001,2032506084,179502,2.4232769999999998e-14,12711,1592,4698940
35001,2048763750,179518,2.423493e-14,13224,1604,5484776
40001,2309763958,179534,2.423709e-14,13737,1616,6270088
45001,2122738542,181364,2.448414e-14,13224,1604,7056452
50001,2209759250,181519,2.4505065000000003e-14,13322,1592,11543308
55001,2231506083,179670,2.4255449999999998e-14,13227,1604,8629104
60001,2048560958,179722,2.4262470000000002e-14,14912,1640,13271776
65001,153919833,179689,2.4258015000000003e-14,13857,1616,10201576
70001,2345179875,179721,2.4262334999999998e-14,14887,1640,14835756
75001,2298260167,179691,2.4258285e-14,13921,1616,11772080
80001,2315761167,179707,2.4260445e-14,14442,1628,16411876
85001,2302049000,179708,2.426058e-14,14455,1628,13343592
90001,2030891417,179738,2.4264630000000002e-14,15446,1652,18096100
95001,2171792250,179707,2.4260445e-14,14443,1628,14914892
100001,2147973583,179742,2.426517e-14,15566,1640,19667124
105001,2337908750,179688,2.425788e-14,13799,1616,16483456
110001,2364152875,179735,2.4264225e-14,15349,1652,21248780
115001,3385283958,183939,2.4831765e-14,14282,1628,18053180
120001,2156410791,179703,2.4259905e-14,14307,1628,22827856
125001,3131568667,179703,2.4259905e-14,14294,1628,27569836
130001,2149476459,179703,2.4259905e-14,14294,1628,20409308
135001,2282524334,184727,2.4938145000000002e-14,14294,1628,25179956
140001,2031939250,179735,2.4264225e-14,15324,1652,29926072
145001,2033448708,185179,2.4999165e-14,14854,1640,22765880
150001,2482794334,179738,2.4264630000000002e-14,15437,1640,27508344
155001,3517789916,185162,2.4996870000000003e-14,14286,1628,32260780
160001,2467332917,185634,2.506059e-14,15874,1664,25120436
165001,2723267833,179751,2.4266384999999998e-14,15849,1664,29858268
170001,2319861417,179750,2.426625e-14,15824,1664,34637896
