Size,Time,Cycles,Price,Instructions,HeapSize,TotalHeapSize
3,2070183666,143703,1.9399905e-14,2558,164,1537024
5,2035247625,143847,1.9419345e-14,2207,172,2561276
7,2059037000,143862,1.9421369999999997e-14,2683,172,3585516
9,2065007291,143862,1.9421369999999997e-14,2683,172,4609756
11,2051355042,145117,1.9590795e-14,2683,172,7684156
13,2040214917,143885,1.9424475e-14,3458,172,6658236
15,2043827958,143888,1.942488e-14,3552,172,9732636
17,2079544750,143888,1.942488e-14,3552,172,8706716
19,7102493375,146280,1.9747799999999996e-14,3159,172,11781116
21,4920179000,146425,1.9767375e-14,2777,172,10755196
23,2032777084,144104,1.945404e-14,5540,172,13829600
25,2031449042,144145,1.9459575e-14,6872,172,16904004
27,2030523667,144146,1.945971e-14,6911,172,13827916
29,2039490750,147463,1.9907505e-14,7236,172,16902320
31,2028308250,144158,1.9461329999999997e-14,7301,172,19976724
33,2047187667,144077,1.9450394999999997e-14,4668,240,16901220
35,2036335542,144077,1.9450394999999997e-14,4668,240,19975800
37,2038302375,144117,1.9455794999999996e-14,5961,240,23050380
39,2030721000,144084,1.9451339999999997e-14,4867,240,26124960
41,2031486750,144090,1.945215e-14,5071,240,20998180
43,2084761875,148960,2.01096e-14,7434,240,24072760
45,2030959959,144193,1.9466054999999998e-14,8417,240,27147340
47,2030011834,144144,1.945944e-14,6826,240,30221920
49,2718537083,149722,2.021247e-14,7998,240,25095140
51,2112361750,144190,1.946565e-14,8323,240,28169720
53,2040612666,144168,1.9462679999999997e-14,7621,240,31244300
55,2033299625,149731,2.0213685e-14,8310,240,34318880
57,2034629375,144093,1.9452555e-14,5161,240,37393900
59,2059669083,144183,1.9464705e-14,8103,240,30216528
61,2031702583,144138,1.9458629999999997e-14,6627,240,33291108
63,2034267917,144186,1.9465109999999998e-14,8201,240,36365688
65,2034350292,150830,2.0362049999999998e-14,7566,240,39440268
67,2033964750,144103,1.9453905e-14,5499,240,42514848
69,2032789750,144180,1.94643e-14,7985,240,45589428
71,2049909917,144177,1.9463895e-14,7917,240,36361968
73,2032092583,144118,1.9455929999999997e-14,5992,260,39437016
75,2031300333,144195,1.9466324999999997e-14,8495,240,42511596
77,2033122459,144181,1.9464435e-14,8037,240,45586176
79,2032774375,152158,2.0541329999999997e-14,8495,240,48660756
81,3259753292,144182,1.946457e-14,8063,240,51735336
83,2032257125,152124,2.0536739999999997e-14,7398,240,54809916
85,2030725333,144168,1.9462679999999997e-14,7618,240,43531836
87,2294688792,153591,2.0734784999999997e-14,6584,240,46606416
89,2772981542,144134,1.9458089999999997e-14,6521,260,49681464
91,2803293000,154542,2.0863169999999996e-14,6804,240,52756044
93,2108618334,144162,1.9461869999999998e-14,7406,240,55830624
95,2031716292,144180,1.94643e-14,7990,240,58905204
97,2031252542,153566,2.073141e-14,5797,240,61979784
99,2032313083,144118,1.9455929999999997e-14,5996,240,65054364
101,4703190375,155272,2.096172e-14,6605,240,51725944
103,2030613250,144136,1.945836e-14,6563,240,54800524
105,2030496708,155256,2.0959559999999997e-14,6063,260,57875572
107,2029698500,144167,1.9462545e-14,7571,240,60950152
109,2030796125,155305,2.0966175e-14,7665,240,64024732
111,2030793916,144149,1.9460114999999998e-14,7000,240,67099312
113,2034837250,144124,1.945674e-14,6186,240,70173892
115,2106305833,155292,2.096442e-14,7259,240,73248472
117,2033716417,144143,1.9459305e-14,6788,240,76323052
119,2050085125,144143,1.9459305e-14,6788,240,60944292
121,2031199542,144135,1.9458224999999998e-14,6542,260,64019340
123,2030646083,144154,1.9460789999999996e-14,7165,240,67093920
125,2087290208,144118,1.9455929999999997e-14,5987,240,70168500
127,2044961625,144158,1.9461329999999997e-14,7280,240,73243080
129,2031400042,144148,1.945998e-14,6953,240,76317660
131,2031084666,144133,1.9457954999999996e-14,6484,240,79392240
133,2031042334,157151,2.1215384999999998e-14,7173,240,82466820
135,2031054916,144155,1.9460924999999997e-14,7173,240,85541400
137,3246968625,144113,1.9455255e-14,5831,260,88616448
139,2030042542,144130,1.945755e-14,6390,240,91691028
141,3246741000,144158,1.9461329999999997e-14,7280,240,72211308
143,3244980000,161100,2.17485e-14,6547,240,75285888
145,3245906625,144159,1.9461464999999998e-14,7324,240,78360468
147,3245894458,144133,1.9457954999999996e-14,6468,240,81435048
149,3246162541,144111,1.9454985e-14,5754,240,84509628
151,3248209333,144157,1.9461195e-14,7264,240,87584208
153,3251160500,159597,2.1545595e-14,7818,260,90659256
155,3312123125,144127,1.9457145e-14,6285,240,93733836
157,2129025709,159580,2.1543299999999998e-14,7272,240,96808416
159,2559895750,144146,1.945971e-14,6908,240,99882996
161,2445072459,144161,1.9461735e-14,7366,240,102957576
163,2617107459,144135,1.9458224999999998e-14,6552,240,106032156
165,2030949000,144133,1.9457954999999996e-14,6468,240,109106736
167,2033257000,162352,2.191752e-14,6468,240,85526616
169,2044432833,144182,1.946457e-14,8075,260,88601664
171,2031439666,162312,2.1912119999999995e-14,5157,240,91676244
173,2030179958,144138,1.9458629999999997e-14,6633,240,94750824
175,2030376250,144099,1.9453365e-14,5356,240,97825404
177,2031291375,144145,1.9459575e-14,6853,240,100899984
179,2035126542,144102,1.9453769999999998e-14,5455,240,103974564
181,2033077292,144145,1.9459575e-14,6853,240,107049144
183,6459921958,144143,1.9459305e-14,6804,240,110123724
185,2030767583,144168,1.9462679999999997e-14,7617,260,113198772
187,2031733666,144096,1.945296e-14,5256,240,116273352
189,2030465417,162315,2.1912525e-14,5256,240,119347932
191,2029625875,144108,1.945458e-14,5659,240,122422512
193,2031774209,162352,2.191752e-14,6455,240,125497092
195,11049541250,165971,2.2406085e-14,5659,240,128571672
197,2289673375,165487,2.2340745e-14,5455,240,100890592
199,2186168417,144102,1.9453769999999998e-14,5455,240,103965172
201,2370287541,144169,1.9462814999999998e-14,7659,260,107040220
