Size,Time,Cycles,Price,Instructions,HeapSize,TotalHeapSize
1,2057612584,79038457,1.0670191695e-11,5543,1025396,1026024
2,2062258166,79144987,1.0684573244999999e-11,6142,-1280,1024744
3,2067531125,79038148,1.0670149979999999e-11,6142,1025408,2050152
4,2067162333,79251552,1.0698959519999999e-11,6681,-1176,2048976
5,2126277250,79038860,1.06702461e-11,6681,1025408,3074384
6,2044126792,79038165,1.0670152274999999e-11,6681,1025408,4099792
7,2065798667,79411377,1.0720535894999999e-11,6681,-514468,3585324
8,2047525959,79038181,1.0670154435e-11,7220,1025408,4610732
9,2039074333,79038181,1.0670154435e-11,7220,1025408,5636140
10,2069211333,79572518,1.074228993e-11,7220,-514468,5121672
11,2039838250,79038179,1.0670154164999998e-11,7157,1025408,6147080
12,2057909167,79038180,1.0670154299999999e-11,7178,1025408,7172488
13,2034329209,79038180,1.0670154299999999e-11,7178,1025408,8197896
14,2069831250,79784313,1.0770882254999999e-11,7199,-1027760,7170136
15,2050546750,79039901,1.0670386635e-11,7199,1025408,8195544
16,2057891291,79038197,1.0670156594999999e-11,7738,1025408,9220952
17,2088174666,79038197,1.0670156594999999e-11,7738,1025408,10246360
18,8080005583,79040089,1.0670412014999999e-11,7738,1025408,11271768
19,12484933833,80052935,1.0807146224999999e-11,7738,-1541052,9730716
20,2049817625,79038197,1.0670156594999999e-11,7738,1025408,10756124
21,2050479875,79038195,1.0670156325e-11,7675,1025408,11781532
22,2050329917,79040429,1.0670457915e-11,7696,1025408,12806940
23,2051677709,79038197,1.0670156594999999e-11,7717,1025408,13832348
24,2065444917,79038197,1.0670156594999999e-11,7717,1025408,14857756
25,2050478875,80370347,1.0849996844999998e-11,7717,-2054344,12803412
26,2049500750,79038197,1.0670156594999999e-11,7717,1025408,13828820
27,2050901125,79041038,1.067054013e-11,7738,1025408,14854228
28,2067925333,79038197,1.0670156594999999e-11,7738,1025408,15879636
29,2053968792,79038197,1.0670156594999999e-11,7738,1025408,16905044
30,2056902542,79038197,1.0670156594999999e-11,7738,1025408,17930452
31,2053011042,79041036,1.067053986e-11,7675,1025408,18955860
32,2053032667,79038790,1.067023665e-11,27002,1026232,19982092
33,2087334625,80796839,1.0907573264999999e-11,8674,-3081236,16900856
34,2084112584,79038226,1.0670160509999999e-11,8674,1025432,17926288
35,2119102292,79038227,1.0670160645e-11,8695,1025432,18951720
36,2063459917,79041903,1.0670656905e-11,8695,1025432,19977152
37,2050393875,79038227,1.0670160645e-11,8695,1025432,21002584
38,2051737583,79038227,1.0670160645e-11,8695,1025432,22028016
39,2054825959,79038227,1.0670160645e-11,8695,1025432,23053448
40,2054038917,79038227,1.0670160645e-11,8695,1025432,24078880
41,2050683041,79041901,1.0670656634999999e-11,8632,1025432,25104312
42,2052745250,79038225,1.0670160374999998e-11,8653,1025432,26129744
43,2106398250,81329583,1.0979493705e-11,8653,-4107728,22022016
44,2061525750,79038226,1.0670160509999999e-11,8674,1025432,23047448
45,2052313166,79038226,1.0670160509999999e-11,8674,1025432,24072880
46,9272113375,79038226,1.0670160509999999e-11,8674,1025432,25098312
47,3672681125,79038226,1.0670160509999999e-11,8674,1025432,26123744
48,2503931875,79038227,1.0670160645e-11,8695,1025432,27149176
49,2222638166,79038714,1.0670226389999999e-11,24545,1025880,28175056
50,6970454292,79042929,1.0670795414999999e-11,8716,1025432,29200488
51,2051779709,79038225,1.0670160374999998e-11,8632,1025432,30225920
52,2049725750,79038225,1.0670160374999998e-11,8653,1025432,31251352
53,2070312083,79042928,1.067079528e-11,8674,1025432,32276784
54,2076959792,79038226,1.0670160509999999e-11,8674,1025432,33302216
55,2095417625,81968981,1.1065812435e-11,8674,-5134620,28167596
56,2064197542,79038227,1.0670160645e-11,8695,1025432,29193028
57,2092292792,79038227,1.0670160645e-11,8695,1025432,30218460
58,2146203042,79044145,1.0670959575e-11,8695,1025432,31243892
59,2067662166,79038227,1.0670160645e-11,8695,1025432,32269324
60,2063563667,79038227,1.0670160645e-11,8695,1025432,33294756
61,2114579291,79038225,1.0670160374999998e-11,8632,1025432,34320188
62,2057080583,79038225,1.0670160374999998e-11,8653,1025432,35345620
63,2085087750,79044143,1.0670959304999998e-11,8653,1025432,36371052
64,2073600834,79038226,1.0670160509999999e-11,8674,1025432,37396484
65,2083889750,79038226,1.0670160509999999e-11,8674,1025432,38421916
66,2064295500,79038709,1.0670225715e-11,24392,1025880,39447796
67,2094977125,79038243,1.0670162804999999e-11,9213,1025432,40473228
68,3284034041,79044161,1.0670961734999999e-11,9213,1025432,41498660
69,2086903458,79038243,1.0670162804999999e-11,9213,1025432,42524092
70,3357937750,82768220,1.1173709699999998e-11,9234,-6674568,35849524
71,2068888875,79038241,1.0670162535e-11,9150,1025432,36874956
72,2060118458,79045691,1.0671168285e-11,9171,1025432,37900388
73,2081442584,79038242,1.067016267e-11,9192,1025432,38925820
74,2062615750,79038242,1.067016267e-11,9192,1025432,39951252
75,2102363083,79038242,1.067016267e-11,9192,1025432,40976684
76,2067421167,79038242,1.067016267e-11,9192,1025432,42002116
77,2066009291,79045693,1.0671168554999998e-11,9213,1025432,43027548
78,2066169917,79038243,1.0670162804999999e-11,9213,1025432,44052980
79,3333147584,79038243,1.0670162804999999e-11,9213,1025432,45078412
80,2125296041,79038243,1.0670162804999999e-11,9213,1025432,46103844
81,2064077208,79045691,1.0671168285e-11,9150,1025432,47129276
82,3269728750,79038241,1.0670162535e-11,9171,1025432,48154708
83,2052420959,79038721,1.0670227335e-11,24757,1025880,49180588
84,2048168250,79038242,1.067016267e-11,9192,1025432,50206020
85,2373014292,79045693,1.0671168554999998e-11,9213,1025432,51231452
86,2352340292,79038243,1.0670162804999999e-11,9213,1025432,52256884
87,3413668000,79038243,1.0670162804999999e-11,9213,1025432,53282316
88,4057367000,79046439,1.0671269264999999e-11,9213,1025432,54307748
89,12375940667,83791835,1.1311897725e-11,9213,-8727832,45579916
90,2050962333,79038243,1.0670162804999999e-11,9213,1025432,46605348
91,2050940291,79038241,1.0670162535e-11,9150,1025432,47630780
92,2049975375,79038241,1.0670162535e-11,9171,1025432,48656212
93,2051087458,79038241,1.0670162535e-11,9171,1025432,49681644
94,2051110708,79047654,1.067143329e-11,9192,1025432,50707076
95,2051244500,79038242,1.067016267e-11,9192,1025432,51732508
96,2050284417,79038242,1.067016267e-11,9192,1025432,52757940
97,2050779583,79038242,1.067016267e-11,9192,1025432,53783372
98,6522913042,79047655,1.0671433424999998e-11,9213,1025432,54808804
99,2053179000,79038243,1.0670162804999999e-11,9213,1025432,55834236
100,2129069250,79038718,1.0670226929999998e-11,24667,1025880,56860116
101,2061639666,79047649,1.0671432614999998e-11,9024,1025432,57885548
102,2057508708,79038238,1.067016213e-11,9066,1025432,58910980
103,2050276958,79038239,1.0670162265e-11,9108,1025432,59936412
104,2050597917,79038239,1.0670162265e-11,9108,1025432,60961844
105,2048751792,79038239,1.0670162265e-11,9108,1025432,61987276
106,2079531500,79047653,1.0671433155e-11,9150,1025432,63012708
107,2047705417,79038241,1.0670162535e-11,9150,1025432,64038140
108,2075636750,79038241,1.0670162535e-11,9150,1025432,65063572
109,2058756666,79038241,1.0670162535e-11,9150,1025432,66089004
110,2082975542,79038241,1.0670162535e-11,9150,1025432,67114436
111,2070077000,79038239,1.0670162265e-11,9087,1025432,68139868
112,2049592875,79047651,1.0671432885e-11,9108,1025432,69165300
113,3249903417,85059229,1.1482995914999999e-11,9108,-11294412,57870888
114,2048912458,79038240,1.0670162399999999e-11,9129,1025432,58896320
115,4799806458,79050121,1.0671766335e-11,9129,1025432,59921752
116,2099854458,79038241,1.0670162535e-11,9150,1025432,60947184
117,3308974834,79038712,1.067022612e-11,24472,1025880,61973064
