Size,Time,Cycles,Price,Instructions,HeapSize,TotalHeapSize
1,2043343250,337241,4.5527535e-14,5543,3444,4072
501,2046556209,337295,4.553482499999999e-14,9850,3484,578648
1001,2129186042,337325,4.5538875e-14,10812,3508,1805796
1501,2047248750,338004,4.5630539999999995e-14,11258,3508,1732256
2001,2031364125,337339,4.554076499999999e-14,11258,3508,2965948
2501,2036238000,337339,4.554076499999999e-14,11258,3508,2885560
3001,2048831375,337354,4.554278999999999e-14,11734,3508,4119136
3501,2044945375,337354,4.554278999999999e-14,11734,3508,5353716
4001,2155290333,338603,4.5711405e-14,11734,3508,4615844
4501,2039811291,338603,4.5711405e-14,11734,3508,5850316
5001,2033157083,337582,4.557356999999999e-14,14207,3508,7084008
5501,2043527542,337593,4.5575055e-14,14578,3508,6345752
6001,2039514000,337558,4.557033e-14,13427,3508,7579944
6501,2056552667,337543,4.5568305e-14,12943,3508,8814584
7001,2037306166,339106,4.577931e-14,12892,3508,10050028
7501,2041597166,337557,4.5570195e-14,13414,3508,8652876
8001,2062513459,337573,4.5572355e-14,13924,3508,9887044
8501,2042451625,337542,4.5568169999999997e-14,12918,3508,11123344
9001,2038164375,339615,4.584802499999999e-14,13912,3508,12356192
9501,2043955291,337558,4.557033e-14,13427,3508,13590384
10001,2032874541,337675,4.5586124999999995e-14,17224,3508,11535900
10501,2237142000,340251,4.5933885e-14,15589,3508,12770084
11001,2031856708,337571,4.557208499999999e-14,13853,3508,14003796
11501,2041791042,337573,4.5572355e-14,13903,3508,15238420
12001,2039654083,337572,4.557222e-14,13878,3508,16472944
12501,2034360042,337558,4.557033e-14,13427,3508,17706688
13001,2036104875,340890,4.602015e-14,13886,3508,14995576
13501,2037117125,337586,4.5574109999999994e-14,14342,3532,16244528
14001,2031140292,337601,4.5576134999999995e-14,14839,3532,17497148
14501,6938813625,341585,4.6113974999999996e-14,14889,3532,18749420
15001,2056272667,337594,4.557519e-14,14613,3532,20001692
15501,2040608083,337629,4.5579914999999996e-14,15761,3532,21254404
16001,2034276875,340947,4.602784499999999e-14,15736,3532,22505288
16501,2040121292,337614,4.5577889999999995e-14,15260,3532,19032584
17001,2036560208,337629,4.5579914999999996e-14,15744,3532,20283928
17501,2205074375,337614,4.5577889999999995e-14,15259,3532,21535744
18001,2034200833,337630,4.5580050000000004e-14,15782,3532,22787568
18501,2038852834,337629,4.5579914999999996e-14,15744,3532,24039392
19001,2052048916,337630,4.5580050000000004e-14,15781,3532,25291664
19501,2055491416,337631,4.5580185e-14,15806,3532,26544360
20001,2039771208,337658,4.558383e-14,16674,3532,27795728
20501,2064764542,338007,4.5630945e-14,28034,3980,29047968
21001,2036169834,337608,4.5577079999999996e-14,15046,3532,24221136
21501,2028617833,337608,4.5577079999999996e-14,15054,3532,25473764
22001,2040504375,342799,4.6277865e-14,15055,3532,26725580
22501,2035007333,337591,4.557478499999999e-14,14495,3532,27978656
23001,2047894250,337606,4.5576809999999994e-14,15004,3532,29230024
23501,2055458208,342812,4.627961999999999e-14,15501,3532,30482296
24001,2501045000,337621,4.5578834999999995e-14,15489,3532,31735008
24501,2035786750,337622,4.5578969999999996e-14,15526,3532,32985920
25001,2035980875,342797,4.6277595e-14,14986,3532,34238972
25501,2046193750,337588,4.557438e-14,14422,3532,35491204
26001,2031981542,337605,4.5576675e-14,14944,3532,36742132
26501,2031447250,337606,4.5576809999999994e-14,14994,3532,30563788
27001,2031409209,337605,4.5576675e-14,14944,3532,31816864
27501,2266300625,344056,4.644756e-14,14447,3532,33069584
28001,2035546083,337589,4.5574514999999997e-14,14434,3532,34322296
28501,2056179000,337603,4.557640499999999e-14,14906,3532,35576152
29001,2045342625,344086,4.645161e-14,15428,3532,36828416
29501,2035453459,337604,4.557654e-14,14931,3532,38079792
30001,2039046083,337638,4.558113e-14,16051,3532,39332056
30501,2066646583,337648,4.5582479999999995e-14,16346,3532,40584768
31001,2088455667,337647,4.5582345e-14,16320,3532,41836120
31501,2054229667,344114,4.6455389999999995e-14,16320,3532,43089264
32001,2039921000,337648,4.5582479999999995e-14,16345,3532,44341520
32501,2035590250,337648,4.5582479999999995e-14,16358,3532,45593760
33001,2032355708,337648,4.5582479999999995e-14,16370,3532,46846448
33501,2036954792,337648,4.5582479999999995e-14,16370,3532,38638276
34001,2171311417,338111,4.5644985e-14,31416,3980,39889644
34501,2054733875,337648,4.5582479999999995e-14,16345,3532,41141936
35001,2040842583,337700,4.55895e-14,18036,3532,42394208
35501,2051071750,337651,4.558288499999999e-14,16446,3532,43645584
36001,2032261458,338059,4.5637965e-14,29717,3980,44897856
36501,2047023500,337638,4.558113e-14,16033,3532,46149600
37001,2040950209,345757,4.6677194999999997e-14,16058,3532,47400952
37501,2246435500,337608,4.5577079999999996e-14,15047,3532,48654004
38001,2048426750,337653,4.5583155e-14,16538,3532,49905804
38501,2042254500,345757,4.6677194999999997e-14,16054,3532,51158964
39001,2050328791,337637,4.5580995e-14,16016,3532,52412024
39501,2034544250,337653,4.5583155e-14,16526,3532,53664256
40001,2042661500,337631,4.5580185e-14,15818,3532,54916072
40501,2501937334,337705,4.5590175e-14,18220,3532,56168336
41001,2044326208,338039,4.5635264999999996e-14,29061,3980,57421032
41501,2031316875,337622,4.5578969999999996e-14,15515,3532,58674100
