Size,Time,Instructions
500,3169000,395955
1000,5218167,418583
1500,2447458,406780
2000,5444041,421814
2500,1946875,420280
3000,6311125,392112
3500,6029750,408739
4000,8957042,406537
4500,8160958,398210
5000,7354458,403600
5500,1454833,408413
6000,6906250,412726
6500,7619625,411131
7000,7766209,421610
7500,1545750,413193
8000,5588750,423290
8500,5742958,417606
9000,6339000,419254
9500,5203916,416289
10000,1156375,411754
10500,6554333,403209
11000,7882125,411651
11500,12834833,421553
12000,58181167,404692
12500,70204541,433065
13000,1270584,404695
13500,7040791,411114
14000,6426708,406269
14500,5182250,396478
15000,4812875,399216
15500,10754750,432616
16000,6167250,410892
16500,1203917,425318
17000,5310958,402043
17500,7383000,417264
18000,7237416,411862
18500,7715709,414988
19000,8092042,429206
19500,6205958,399768
20000,6669750,409541
20500,44226208,418742
21000,2025542,418952
21500,5495667,434006
22000,8620291,423450
22500,5551084,404878
23000,6569875,416861
23500,5915167,421768
24000,5713125,423081
24500,7552458,418822
25000,5829792,405758
25500,7978334,443058
26000,5027208,412620
26500,1118834,415669
27000,5088875,422826
27500,5456583,417827
28000,6127916,422098
28500,5154000,412934
29000,19832667,407625
29500,63540125,427424
30000,67381583,412064
30500,56331250,420236
31000,5886834,417742
31500,6238000,407767
32000,8367583,415501
32500,4946542,429212
33000,6896125,411167
33500,1310250,415949
34000,5577791,405006
34500,6213708,429110
35000,6314333,425099
35500,5649333,404503
36000,6777792,424830
36500,8033583,412772
37000,8073167,400907
37500,5324333,426931
38000,17429208,419078
38500,5498708,402548
39000,6104834,432122
39500,6439958,412869
40000,5849459,432562
40500,5859500,412877
41000,10026084,417142
41500,48537875,430828
42000,1566459,410617
42500,7505292,408689
43000,5785792,409653
43500,7010375,412307
44000,6043083,414037
44500,5237292,424455
45000,5613333,404250
45500,6435625,402478
46000,6144583,411982
46500,7355625,409741
47000,7123042,416347
47500,6215542,417545
48000,6627209,410930
48500,6568500,417431
49000,17382709,419832
49500,7465708,414134
50000,14582666,409285
50500,42391792,423172
51000,87798459,412882
51500,26039250,436455
52000,8304959,433314
52500,1314333,431024
53000,7393750,430610
53500,7955959,422884
54000,7924291,407409
54500,7486667,432383
55000,5389125,425965
55500,5072750,425044
56000,5761208,430891
56500,5094041,413705
57000,4976459,403582
57500,5199584,414758
58000,7561416,439041
58500,6133583,420881
59000,15563833,426625
59500,18703791,417124
60000,45586083,422824
60500,7035583,420054
61000,5570458,418851
61500,6664334,411438
62000,5482500,416210
62500,16038750,422368
63000,6066583,427125
63500,12135416,434199
64000,5366833,427500
64500,6667875,431647
65000,6571708,440902
65500,955083,438110
66000,5535166,435126
66500,5943125,413831
67000,6081042,435876
67500,6300917,418798
68000,6416916,434508
68500,13495125,421936
69000,61553459,427001
69500,59727375,422596
70000,48945208,425886
70500,5690250,417058
71000,7227958,425271
71500,6841667,418755
72000,6177583,426287
72500,17920042,426586
73000,6989583,421477
73500,6375750,421409
74000,5247292,416525
74500,5518792,421320
75000,5939625,423144
75500,7001583,446153
76000,5983875,428770
76500,5899167,428065
77000,6040833,417156
77500,7208583,410309
78000,8103500,430629
78500,34720917,414252
79000,22801292,416481
79500,60239125,437559
80000,46504459,409619
80500,5552792,412114
81000,6338041,420939
81500,1717959,435311
82000,5826667,405436
82500,7915916,418992
83000,7167250,426457
83500,7273625,418959
84000,5415250,431330
84500,5798208,422530
85000,8057959,434761
85500,18489542,415861
86000,7410417,422811
86500,6939250,429623
87000,15594417,430956
87500,6233166,437235
88000,13207917,423559
88500,1836792,417285
89000,112456958,414527
89500,7957250,425728
90000,6505167,419110
90500,6351125,438035
91000,5225834,439333
91500,7846250,418809
92000,6111209,407501
92500,8186709,420851
93000,6111583,440143
93500,17312417,440845
94000,6329958,412056
94500,5449083,428867
95000,5994208,415575
95500,5462834,435759
96000,5672375,430763
96500,7504750,426683
97000,27384916,415057
97500,40601291,422066
98000,149447584,422137
98500,99620500,430572
99000,6872084,430689
99500,5928708,418020
100000,5766709,433690
100500,6191209,441832
101000,1219333,416305
101500,18662166,419654
102000,7654250,410837
102500,5538583,413990
103000,6452167,433386
103500,6081583,417635
104000,5882500,424732
104500,5983375,416524
105000,6017500,419877
105500,6919958,425378
106000,13051750,414653
106500,23767875,415239
107000,29359542,422180
107500,38617417,424370
108000,5841083,422665
108500,7107792,422687
109000,8096833,412256
109500,8048917,416450
110000,7092458,419044
110500,7012208,439806
111000,5147708,412528
111500,6503459,418847
112000,6170500,421676
112500,6034042,423605
113000,6152625,422735
113500,7721166,423348
114000,6554875,409959
114500,8503334,425151
115000,24991833,446688
115500,17712458,424565
116000,54603125,414923
116500,36577625,418549
117000,6098500,425300
117500,5547083,424718
118000,5770542,407956
118500,5850583,414570
119000,6862084,423345
119500,7096667,412206
120000,6997792,435470
120500,7636292,424690
121000,5174875,422076
121500,7739792,427421
122000,5624583,421500
122500,6086792,429770
123000,8152792,422145
123500,17246167,411355
124000,8181834,439693
124500,5803209,425431
125000,1264458,427550
125500,7574417,418909
126000,8243166,422204
126500,5210917,425008
127000,47112959,422141
127500,60773583,412693
128000,48648125,435780
128500,6111584,427090
129000,5573167,420581
129500,5316959,419636
130000,6409958,419241
130500,6227250,427025
131000,6691000,416344
131500,6057000,416025
132000,7216041,423334
132500,6461084,426469
133000,6796541,434906
