Size,Time,Cycles,Price,Instructions,HeapSize,TotalHeapSize
1,2913032500,143904,1.942704e-14,1605,164,3460
5001,2244814334,144027,1.9443644999999997e-14,8063,296,588992
10001,3228815125,144042,1.944567e-14,8539,296,1195652
15001,2035322334,144042,1.944567e-14,8539,296,1799448
20001,2434523917,144078,1.9450529999999998e-14,9704,352,2405788
25001,3573041083,144078,1.9450529999999998e-14,9704,352,4586304
30001,2509321750,144078,1.9450529999999998e-14,9704,352,3615444
35001,2034546542,144092,1.9452419999999998e-14,10180,352,5799376
40001,2099926417,145484,1.9640339999999998e-14,10180,352,4827588
45001,2117016542,144092,1.9452419999999998e-14,10180,352,7011328
50001,2889689083,144298,1.9480229999999996e-14,11847,372,6038700
55001,2048261583,144344,1.9486439999999998e-14,13313,352,8226784
60001,2333479834,144312,1.948212e-14,12285,352,7247652
65001,2325484333,144342,1.948617e-14,13266,352,9436608
70001,2034120792,144357,1.9488194999999998e-14,13750,352,11624404
75001,2184894084,144313,1.9482255e-14,12336,352,9064252
80001,2754956833,146685,1.9802474999999998e-14,14298,352,11247984
85001,2130316583,144291,1.9479285e-14,11593,372,13435264
90001,2277945542,144372,1.9490219999999996e-14,14247,352,10878644
95001,746385584,146982,1.984257e-14,13304,352,13066292
100001,2035908542,144297,1.9480094999999998e-14,11787,352,15251864
105001,311017250,144431,1.9498184999999998e-14,16144,352,12696372
110001,2284313000,144305,1.9481175e-14,12049,352,14884476
115001,2274240250,144351,1.9487384999999998e-14,13562,352,17071724
120001,2068542875,144351,1.9487384999999998e-14,13562,352,19261212
125001,17573709,144365,1.9489275e-14,14032,352,15118784
130001,2180353458,144337,1.9485494999999998e-14,13090,352,17309396
135001,2037966750,144353,1.9487654999999997e-14,13612,352,19493740
140001,3533016459,147923,1.9969604999999998e-14,14045,352,21685516
145001,2918364916,144337,1.9485494999999998e-14,13090,352,17541008
150001,2966665083,144409,1.9495214999999996e-14,15427,352,19728064
155001,2301677542,144407,1.9494944999999997e-14,15385,352,21917420
160001,2352940250,148352,2.002752e-14,13654,352,24104820
165001,2192547792,144341,1.9486034999999998e-14,13218,372,26295820
170001,2374306542,144324,1.9483739999999998e-14,12686,352,20569280
175001,2320707958,144324,1.9483739999999998e-14,12685,352,22759824
180001,2668020708,149045,2.0121075e-14,13679,352,24944976
185001,2065943459,144341,1.9486034999999998e-14,13218,372,27136992
190001,2506998541,148984,2.011284e-14,11704,352,29321248
195001,3284822667,144357,1.9488194999999998e-14,13740,372,31514048
200001,2130327333,144372,1.9490219999999996e-14,14234,352,24204212
205001,2141891042,144463,1.9502504999999996e-14,17199,352,26392612
210001,2182568667,144350,1.948725e-14,13513,352,28585372
215001,2215679750,144380,1.9491299999999997e-14,14505,352,30772596
220001,2853497541,144350,1.948725e-14,13534,352,32961540
225001,255748542,144366,1.948941e-14,14042,352,35146600
230001,2366519459,144351,1.9487384999999998e-14,13546,352,37336388
235001,2036122750,144350,1.948725e-14,13517,352,28444348
240001,4051894000,150779,2.0355164999999998e-14,14039,352,30633444
245001,2114388959,150702,2.0344769999999998e-14,11541,352,32824208
250001,2055171166,150816,2.0360159999999998e-14,15237,352,35008008
255001,199709417,144349,1.9487115e-14,13473,352,37195568
260001,2826991750,144320,1.9483199999999998e-14,12543,352,39381408
265001,5227808208,151388,2.0437379999999998e-14,13009,352,41568200
270001,4274188541,144334,1.9485089999999998e-14,12997,352,43755048
275001,242105666,144350,1.948725e-14,13531,352,33286448
280001,2151063083,151789,2.0491514999999998e-14,13519,352,35472208
285001,2018986125,151775,2.0489624999999998e-14,13060,352,37661492
290001,2318678875,151759,2.0487465e-14,12538,352,39851224
295001,2214994708,144335,1.9485224999999996e-14,13035,352,42038796
300001,2653037416,151881,2.0503934999999996e-14,16522,352,44227708
305001,2031675041,151820,2.04957e-14,14524,352,46414964
310001,3396202750,151812,2.0494619999999998e-14,14274,408,48771580
315001,2038032792,144374,1.9490489999999998e-14,14299,408,38133340
320001,2307957208,144403,1.9494405e-14,15254,408,40497624
325001,2063309292,144374,1.9490489999999998e-14,14320,408,42864756
330001,3062205709,144374,1.9490489999999998e-14,14295,408,45233692
335001,2447296833,144390,1.9492649999999997e-14,14817,408,47602732
340001,2205152709,144389,1.9492515e-14,14791,408,49971608
345001,2212831291,144390,1.9492649999999997e-14,14830,408,52341500
350001,2068357917,144399,1.9493865e-14,15116,408,54711920
355001,2800796750,144416,1.949616e-14,15668,408,57080508
360001,2367373875,144386,1.949211e-14,14700,408,43584020
365001,279048583,144432,1.949832e-14,16191,408,45951432
370001,2076913167,154049,2.0796614999999998e-14,16636,408,48319724
375001,2133249958,154049,2.0796614999999998e-14,16649,408,50686936
380001,251276416,154006,2.0790809999999998e-14,15260,408,53056640
385001,2889314625,154020,2.07927e-14,15694,408,55423076
390001,2250996584,144433,1.9498455e-14,16211,408,57793564
395001,2364840292,153991,2.0788784999999997e-14,14746,408,60161348
400001,2507718625,144443,1.9499805e-14,16554,408,62529944
405001,2033003375,144444,1.9499939999999997e-14,16568,408,64895836
410001,2250508041,144377,1.9490894999999997e-14,14390,408,49638780
415001,2195092959,144391,1.9492784999999998e-14,14848,408,52008612
420001,3066469375,155243,2.0957804999999997e-14,14378,408,54375560
425001,2193067167,155244,2.0957939999999998e-14,14412,408,56747232
430001,2224756375,155261,2.0960235e-14,14957,428,59112864
435001,2490595958,144393,1.9493054999999997e-14,14907,408,61481744
440001,2729668541,144361,1.9488734999999998e-14,13867,408,63851692
445001,2335793750,144361,1.9488734999999998e-14,13892,408,66219476
450001,2307336708,144399,1.9493865e-14,15119,428,68587180
455001,2032655417,144320,1.9483199999999998e-14,12549,408,70956816
460001,2244746542,144321,1.9483335e-14,12570,408,73326300
465001,2382391500,144321,1.9483335e-14,12570,408,56301096
470001,2109689958,144321,1.9483335e-14,12591,408,58670436
475001,2077529917,144336,1.9485359999999997e-14,13054,408,61036692
480001,2091605459,144321,1.9483335e-14,12591,408,63407752
485001,2397358084,156559,2.1135464999999998e-14,12591,408,65775568
490001,2034712083,144336,1.9485359999999997e-14,13059,408,68143456
495001,2546555083,144322,1.948347e-14,12612,408,70515588
500001,2033701292,144524,1.951074e-14,14165,408,72883704
505001,758442292,144602,1.952127e-14,16679,408,75257764
510001,2036982083,144651,1.9527885e-14,18276,408,77627844
515001,2114649750,144577,1.9517895e-14,15886,408,80002204
520001,3078358083,156849,2.1174615e-14,16970,408,82376288
525001,2259918375,156849,2.1174615e-14,16984,408,84748716
530001,2032396334,144599,1.9520864999999997e-14,16581,408,64174660
535001,2540940541,144551,1.9514385e-14,15039,408,66546828
540001,2335343583,144614,1.952289e-14,17094,408,68918556
545001,2315696833,144567,1.9516545e-14,15571,408,71294576
550001,2778234750,158514,2.1399389999999995e-14,14087,408,73670268
555001,2727624375,144549,1.9514114999999998e-14,14965,408,76047040
560001,2038573292,144534,1.951209e-14,14473,408,78416728
565001,2596588333,144550,1.951425e-14,14998,408,80794704
570001,2433539667,144533,1.9511955e-14,14455,408,83168960
575001,2264627167,144551,1.9514385e-14,15023,408,85541696
580001,2076412667,158558,2.140533e-14,15516,408,87914008
585001,2249769458,158527,2.1401144999999995e-14,14518,408,90291040
590001,2625256917,144551,1.9514385e-14,15019,408,92665844
595001,2182723250,144504,1.9508039999999997e-14,13516,408,95036280
600001,2311367333,144683,1.9532204999999997e-14,19335,408,72657040
605001,2175066292,144636,1.9525859999999997e-14,17791,408,75030976
