Size,Time,Cycles,Price,Instructions,HeapSize,TotalHeapSize
5000,2747200875,17223777,2.3252098949999996e-12,89818904,584008,584636
10000,2387782792,18826842,2.5416236699999997e-12,100883623,605908,1190544
15000,2217125292,19467286,2.6280836099999996e-12,105646807,605628,1796172
20000,2354200458,20072685,2.7098124749999996e-12,109253338,605764,2401936
25000,2198076292,18250158,2.46377133e-12,114166570,2175632,4577568
30000,2675211875,21213476,2.86381926e-12,114223644,-966304,3611264
35000,2107292167,18263823,2.4656161049999998e-12,114636773,2180260,5791524
40000,2436903542,22347435,3.016903725e-12,118939004,-968868,4822656
45000,2046324250,18383018,2.48170743e-12,118465365,2176924,6999580
50000,2836832917,23332068,3.1498291799999995e-12,118824773,-966940,6032640
55000,2117788125,19436396,2.62391346e-12,127767879,2183276,8215916
60000,3216213875,25361512,3.4238041199999993e-12,127687820,-973244,7242672
65000,2121522583,19402437,2.619328995e-12,126604596,2187268,9429940
70000,2097238333,19407561,2.6200207349999997e-12,126830728,2184436,11614376
75000,2375408750,26799469,3.617928315e-12,126221031,-2555064,9059312
80000,2487105625,19426442,2.6225696699999998e-12,127369260,2184340,11243652
85000,2144394875,19418621,2.6215138349999997e-12,127190205,2185448,13429100
90000,2179336542,28292358,3.819468329999999e-12,126553624,-2553852,10875248
95000,2330831750,19463221,2.627534835e-12,128639703,2186968,13062216
100000,2319278750,19401528,2.61920628e-12,126548903,2183996,15246212
105000,2230580583,29858399,4.030883865e-12,129244264,-2554040,12692172
110000,2451594917,19548067,2.6389890449999995e-12,131397188,2186244,14878416
115000,2185135125,19541445,2.638095075e-12,131181976,2187496,17065912
120000,2307752875,19605787,2.646781245e-12,133176462,2185244,19251156
125000,2130400958,31906861,4.307426235e-12,131528485,-4135588,15115568
130000,2980174500,19596433,2.6455184549999996e-12,132969071,2188332,17303900
135000,2286311083,19609554,2.64728979e-12,133395518,2185288,19489188
140000,2520795625,19560376,2.6406507599999998e-12,131797222,2188840,21678028
145000,2184623375,33900833,4.5766124549999995e-12,132006295,-4136996,17541032
150000,2782034500,19544040,2.6384453999999997e-12,131266323,2185648,19726680
155000,2062441166,19579875,2.643283125e-12,132301005,2188284,21914964
160000,2428745750,19565223,2.6413051049999996e-12,131954772,2185324,24100288
165000,2080477458,19528748,2.6363809799999997e-12,130769316,2188276,26288564
170000,2801621416,36389049,4.912521614999999e-12,132450810,-5714940,20573624
175000,2187328125,19567791,2.641651785e-12,131885801,2186456,22760080
180000,2079590500,19531598,2.6367657299999997e-12,130861938,2186628,24946708
185000,2243291416,19598111,2.6457449849999997e-12,133023621,2188220,27134928
190000,2071012166,19696391,2.6590127849999997e-12,136217735,2185748,29320676
195000,2130955792,19694716,2.6587866599999996e-12,136163273,2180896,31501572
200000,3023488833,39522853,5.335585154999999e-12,137867063,-7292972,24208600
205000,2283647834,19695690,2.65891815e-12,136194928,2186592,26395192
210000,2111790500,19716085,2.661671475e-12,136679171,2186216,28581408
215000,2142740750,19700573,2.6595773549999998e-12,136353634,2183740,30765148
220000,3046230208,19690030,2.65815405e-12,136010966,2183716,32948864
225000,2070377125,19706751,2.660411385e-12,136554411,2182420,35131284
230000,2949836459,19720670,2.66229045e-12,136828191,2187540,37318824
235000,2208570834,42928427,5.795337644999999e-12,136092875,-8872572,28446252
240000,2103506208,19715380,2.6615762999999995e-12,136834853,2185368,30631620
245000,2121445916,19720789,2.662306515e-12,136802238,2182772,32814392
250000,2753176125,19711988,2.6611183799999996e-12,136724632,2186144,35000536
255000,2238687167,19754296,2.66682996e-12,138099638,2187640,37188176
260000,2312022833,19735238,2.6642571299999996e-12,137480252,2180172,39368348
265000,2044467250,19720227,2.6622306449999998e-12,136783952,2189240,41557588
270000,2693686041,19738662,2.6647193699999998e-12,137591521,2181308,43738896
275000,2199842625,46891072,6.33029472e-12,136358075,-10449416,33289480
280000,2071566917,19742078,2.66518053e-12,137702539,2184900,35474380
285000,2262631791,19722626,2.6625545099999997e-12,137070356,2184876,37659256
290000,2306900083,19722494,2.6625366899999997e-12,137066058,2187436,39846692
295000,2276929625,19738611,2.6647124849999998e-12,137589861,2186256,42032948
300000,2269291916,19791834,2.6718975899999997e-12,139077842,2185632,44218580
305000,2241500458,19936878,2.69147853e-12,144033545,2188056,46406636
310000,2665991000,19966471,2.6954735849999998e-12,144995309,2357032,48763668
315000,2118602458,51099325,6.898408875e-12,144520816,-10625984,38137684
320000,2321026292,19971707,2.696180445e-12,144894082,2360988,40498672
325000,2159731791,19943485,2.6923704749999996e-12,144248283,2365192,42863864
330000,2418952250,20006771,2.7009140849999997e-12,146305075,2365016,45228880
335000,2183291500,19935335,2.691270225e-12,143983380,2364496,47593376
340000,2060191542,20005946,2.7008027099999996e-12,146006836,2360880,49954256
345000,2280714459,19980855,2.697415425e-12,145462814,2364820,52319076
350000,2499802667,19996092,2.69947242e-12,145958004,2364132,54683208
355000,2139818917,19992463,2.698982505e-12,145568643,2363508,57046716
360000,2637962208,55608711,7.507175985e-12,146534773,-13462904,43583812
365000,2254799042,19957083,2.6942062049999998e-12,144690210,2361444,45945256
370000,2147445375,20014572,2.70196722e-12,146558600,2367104,48312360
375000,2294846833,19987115,2.6982605249999998e-12,145354137,2366968,50679328
380000,2382138791,19997703,2.699689905e-12,146010348,2363972,53043300
385000,2270610083,20023136,2.7031233599999995e-12,146836942,2363568,55406868
390000,2385778041,19986580,2.6981882999999997e-12,145648859,2364400,57771268
395000,2057595000,20032908,2.70444258e-12,147154519,2364460,60135728
400000,2787941833,19988355,2.698427925e-12,145706559,2365208,62500936
405000,2158291834,19988778,2.6984850299999995e-12,145720286,2365344,64866280
410000,5068488042,60382171,8.151593085e-12,140659876,-15227756,49638524
415000,2205569250,19859053,2.6809721549999995e-12,141504239,2362796,52001320
420000,2227709125,19847361,2.6793937349999998e-12,141124244,2364028,54365348
425000,2762432542,19880301,2.6838406349999996e-12,141841809,2367524,56732872
430000,2151029125,19856721,2.6806573349999998e-12,141428437,2362828,59095700
435000,2516676875,19870422,2.6825069699999997e-12,141873730,2366100,61461800
440000,2290691916,19875773,2.6832293549999995e-12,142047620,2363800,63825600
445000,2567376791,19876560,2.6833355999999996e-12,141720212,2366056,66191656
450000,2120917042,19871108,2.68259958e-12,141896010,2362444,68554100
455000,2538477250,19932435,2.6908787249999996e-12,143889130,2362532,70916632
460000,2319765500,19984668,2.6979301799999995e-12,145233738,2367812,73284444
465000,4375409000,65853413,8.890210755e-12,142092199,-16985480,56298964
470000,2443155083,19832229,2.6773509149999997e-12,140632460,2370028,58668992
475000,2372400917,19857273,2.6807318549999997e-12,141048797,2362512,61031504
480000,2042192375,19836413,2.6779157549999998e-12,140768437,2364724,63396228
485000,2255094292,19848753,2.6795816549999998e-12,141169485,2363588,65759816
490000,2262286125,19844697,2.679034095e-12,140640092,2365300,68125116
495000,2296839083,19853239,2.6801872649999997e-12,141315283,2365468,70490584
500000,2589455291,19851071,2.6798945849999997e-12,141244802,2364620,72855204
505000,2061447791,20892571,2.820497085e-12,150146096,2369364,75224568
510000,2236143583,20866941,2.817037035e-12,148915546,2368216,77592784
515000,2230413917,20945034,2.8275795899999996e-12,151851139,2375560,79968344
520000,2417545500,21076575,2.8453376249999995e-12,156126215,2371892,82340236
525000,2266291875,21006198,2.8358367299999997e-12,153441408,2366708,84706944
530000,4414339333,73463296,9.917544959999999e-12,155563773,-20534600,64172344
535000,2072796125,21035716,2.8398216599999997e-12,154798290,2367768,66540112
540000,2870572875,21017481,2.837359935e-12,154205664,2369728,68909840
545000,2095960333,21070723,2.8445476049999997e-12,155481278,2370888,71280728
550000,2578867250,21005855,2.835790425e-12,153827823,2371240,73651968
555000,2234164375,21077847,2.8455093449999994e-12,156167575,2369752,76021720
560000,2659109083,21050301,2.8417906349999998e-12,154817595,2371668,78393388
565000,2228944583,20979941,2.832292035e-12,152985631,2367680,80761068
570000,2361488167,21048369,2.8415298149999997e-12,155209524,2371268,83132336
575000,2252108917,20986785,2.833215975e-12,153208047,2370332,85502668
580000,2352545583,21059554,2.8430397899999994e-12,155118313,2367420,87870088
585000,2288092333,20982635,2.8326557249999997e-12,153073184,2369112,90239200
590000,2271962167,21046387,2.8412622449999998e-12,155145097,2371776,92610976
595000,2294277500,21014452,2.8369510199999995e-12,153652468,2371608,94982584
600000,3451114583,80355766,1.0848028409999999e-11,154578724,-22330104,72652480
605000,2204534709,21027633,2.8387304549999997e-12,154535611,2368528,75021008
610000,2485170500,21024901,2.838361635e-12,154446826,2371496,77392504
615000,2258609125,21024667,2.8383300449999995e-12,154439220,2369836,79762340
620000,2036897709,20978803,2.832138405e-12,152948633,2370712,82133052
625000,2312906500,21036480,2.8399248e-12,154823140,2365936,84498988
630000,2148120541,21004836,2.83565286e-12,153284540,2372848,86871836
635000,2296264125,20996819,2.8345705649999995e-12,153534144,2372228,89244064
640000,2252937250,20912421,2.823176835e-12,150791227,2372856,91616920
645000,2182465792,20869828,2.8174267799999996e-12,148896779,2371448,93988368
650000,2216555084,20886383,2.819661705e-12,149944979,2369760,96358128
655000,2282267500,20908701,2.8226746349999997e-12,150670312,2372160,98730288
660000,2069628791,20882895,2.8191908249999995e-12,149831630,2366428,101096716
665000,2216761041,20919020,2.8240676999999996e-12,150495538,2372560,103469276
670000,2436968792,21051699,2.841979365e-12,155317763,2368592,105837868
675000,2067377292,20925761,2.8249777349999995e-12,151224764,2371108,108208976
680000,3947054958,88149360,1.1900163599999998e-11,150129933,-25866196,82342780
685000,2407181916,20949454,2.82817629e-12,151994796,2368008,84710788
690000,2324961542,21035715,2.839821525e-12,154798264,2373840,87084628
695000,2183323208,21050056,2.84175756e-12,155264337,2369984,89454612
700000,2591338416,21022852,2.8380850199999998e-12,153802244,2372556,91827168
705000,2126793875,21051702,2.8419797699999996e-12,155317864,2369520,94196688
710000,2247332125,21047145,2.841364575e-12,155169726,2367812,96564500
715000,2157043208,21024605,2.8383216749999997e-12,154437201,2371116,98935616
