Size,Time,Cycles,Price,Instructions,HeapSize,TotalHeapSize
1,2923286084,17928402,2.42033427e-12,10588,142940,143568
5001,3682626250,17956671,2.424150585e-12,14817,148244,734008
10001,2971274583,17956238,2.42409213e-12,14674,146992,1339040
15001,3415482167,17956661,2.4241492349999996e-12,14813,147440,1945116
20001,3280774458,17960049,2.4246066149999997e-12,15649,149840,2555160
25001,3270606542,20431929,2.758310415e-12,16004,-1542120,3149220
30001,3513989041,17960091,2.4246122849999995e-12,15624,149392,5435412
35001,3070938166,17961127,2.424752145e-12,16262,149840,4371852
40001,3378135167,17962450,2.42493075e-12,16269,149840,6660184
45001,3592759167,17960510,2.4246688499999997e-12,16064,149840,5582636
50001,2603984542,17982235,2.4276017249999997e-12,18180,150288,7866960
55001,3613649041,17980250,2.42733375e-12,17534,150172,6791544
60001,3049380834,17980224,2.4273302399999996e-12,17525,149384,9082564
65001,3698216375,17979837,2.427277995e-12,17400,150196,8002632
70001,2804804791,17981110,2.4274498499999996e-12,17814,149840,10292704
75001,3158259416,17981925,2.4275598749999997e-12,17439,149840,12586308
80001,2940265416,17980816,2.42741016e-12,17717,150196,9819980
85001,3592839000,17982037,2.427574995e-12,17320,149840,12110940
90001,3667328042,17980283,2.4273382049999996e-12,17546,149392,14397164
95001,3354989083,17981456,2.4274965599999996e-12,17023,149840,11634528
100001,3586692208,17980063,2.427308505e-12,17473,148944,13926012
105001,3321993292,17981960,2.4275645999999996e-12,18091,149840,16217072
110001,3002274458,17982904,2.4276920399999996e-12,18397,150196,13451108
115001,3056216333,17983011,2.4277064849999996e-12,18431,149392,15742956
120001,3332870791,17983147,2.427724845e-12,18478,149840,18028752
125001,3453648791,17982278,2.4276075299999996e-12,18193,150196,20320536
130001,2771253167,17987022,2.4282479699999997e-12,18529,149392,15871212
135001,3566457875,17982331,2.427614685e-12,18210,149384,18160848
140001,3958273500,17985491,2.428041285e-12,18033,150992,20449664
145001,3656630708,17982830,2.4276820499999996e-12,18375,150644,22738468
150001,2952201125,17988161,2.428401735e-12,18758,149392,18290240
155001,3385663625,17982671,2.4276605849999998e-12,18320,149384,20584980
160001,2343736667,17983759,2.427807465e-12,18676,149840,22879368
165001,3418596750,17984075,2.4278501249999997e-12,18778,150644,25173340
170001,3733284375,17981285,2.427473475e-12,17870,149392,27466092
175001,2888195459,17983396,2.4277584599999997e-12,18557,149840,21323988
180001,3693489125,17982381,2.427621435e-12,18226,150644,23615860
185001,3553989375,17987336,2.42829036e-12,18259,149840,25907856
190001,3671520333,17982976,2.4277017599999997e-12,18419,149840,28200596
195001,2864053750,17988004,2.42838054e-12,18479,151440,30493204
200001,2931777458,17983376,2.42775576e-12,18549,148488,32784332
205001,3790861916,17989773,2.4286193549999997e-12,18789,150288,24959932
210001,2984368583,17982710,2.42766585e-12,18333,150280,27248600
215001,3639214459,17981931,2.427560685e-12,18081,149392,29538304
220001,2975506083,17982309,2.4276117149999997e-12,18206,149840,31827284
225001,3402840542,17982927,2.4276951449999996e-12,18403,150288,34118488
230001,3177723834,17984858,2.42795583e-12,19032,151420,36409460
235001,4515255209,17983384,2.42775684e-12,18551,149840,28590564
240001,3336341250,17989028,2.4285187799999998e-12,18334,149840,30878128
245001,3266885875,17982233,2.4276014549999997e-12,18179,149392,33171900
250001,2865317916,17992129,2.428937415e-12,19339,151532,35467000
255001,3336541459,17985278,2.42801253e-12,19168,150620,37759084
260001,3639372084,17984331,2.427884685e-12,18861,149840,40050540
265001,3196816959,17990649,2.4287376149999998e-12,18857,149840,42341912
270001,4313657042,17984300,2.4278805e-12,18852,149392,32831380
275001,3321766417,17991341,2.4288310349999997e-12,18785,149392,35122804
280001,2839706208,17984633,2.4279254549999998e-12,18958,149840,37412372
285001,3572687000,17989935,2.4286412249999995e-12,18327,150196,39699344
290001,3739730083,17984083,2.4278512049999997e-12,18780,149392,41992088
295001,3636649166,17985443,2.4280348049999995e-12,19221,151092,44281364
300001,3638932625,17990645,2.4287370749999995e-12,18557,148944,46569076
305001,3474085084,17984360,2.4278886e-12,18869,149392,48860532
310001,3682219250,17994216,2.4292191599999996e-12,19376,151792,37677376
315001,3645765667,17985173,2.427998355e-12,19135,152240,40147800
320001,3643109250,17985828,2.42808678e-12,19348,151784,42616152
325001,3832097917,17993114,2.42907039e-12,19020,151792,45087300
330001,3669874000,17986496,2.42817696e-12,19563,151792,47555668
335001,3457945875,17993853,2.4291701549999998e-12,19260,151792,50023816
340001,2615152500,17985785,2.4280809749999996e-12,19333,151792,52494280
345001,3822427875,17993847,2.429169345e-12,18987,151784,54963180
350001,3573735250,52599422,7.1009219699999985e-12,20309,-14856780,42421496
355001,3449671875,17996768,2.42956368e-12,19877,152240,44894704
360001,3501284292,17984232,2.42787132e-12,18828,151792,47366104
365001,3133757958,17986561,2.428185735e-12,19583,152240,49832448
370001,3389243667,17986627,2.4281946449999996e-12,19608,152240,52303856
375001,3522529583,17986644,2.42819694e-12,19612,152240,54774236
380001,2700492417,17995845,2.4294390749999997e-12,19579,152240,57245256
385001,3272284667,17984519,2.427910065e-12,18922,151792,59714152
390001,3521456625,17986879,2.4282286649999996e-12,19691,152240,62180604
395001,3060090500,17986304,2.4281510399999996e-12,19502,151792,64651640
400001,3513800334,17986548,2.42818398e-12,19581,151792,48575740
405001,2927997791,17995093,2.429337555e-12,18871,152240,51046260
410001,3176205583,17985608,2.42805708e-12,19275,152240,53512164
415001,3041237458,17995809,2.4294342149999996e-12,19105,151792,55984656
420001,3318040333,17985319,2.4280180649999996e-12,19181,151792,58452696
425001,3349307375,17994804,2.4292985399999996e-12,18778,151792,60922464
430001,3200811334,17986196,2.42813646e-12,19466,152240,63389272
435001,3368716416,17997285,2.429633475e-12,19582,153044,65861280
