Size,Time,Cycles,Price,Instructions,HeapSize,TotalHeapSize
1,2126166417,179108,2.417958e-14,4878,1284,3296
5001,907377833,179435,2.4223724999999995e-14,10554,1340,588696
10001,2035322834,179450,2.4225749999999997e-14,11030,1340,1195356
15001,180381333,179450,2.4225749999999997e-14,11030,1340,1799152
20001,2389835917,179479,2.4229665e-14,11962,1364,2405436
25001,2038544667,179479,2.4229665e-14,11962,1364,4585952
30001,2266848750,179479,2.4229665e-14,11962,1364,3615092
35001,2864711500,180666,2.4389909999999995e-14,12438,1364,5799024
40001,39033666,179494,2.423169e-14,12438,1364,4827236
45001,2791169375,179494,2.423169e-14,12438,1364,7010976
50001,2156107917,179669,2.4255315e-14,13197,1364,6038328
55001,3542534833,179663,2.4254505e-14,12989,1364,8226432
60001,2580341667,179631,2.4250185e-14,11956,1364,7247300
65001,2197561625,179661,2.4254235e-14,12937,1364,9436256
70001,2208670625,179676,2.425626e-14,13421,1364,11624052
75001,2424758250,179632,2.425032e-14,12007,1364,9063900
80001,2112595042,179693,2.4258554999999997e-14,13969,1364,11247632
85001,3055261625,181972,2.456622e-14,12938,1364,13434892
90001,2321946667,182330,2.4614549999999997e-14,13918,1364,10878292
95001,2037986667,179662,2.4254369999999997e-14,12975,1364,13065940
100001,2242181375,179695,2.4258825e-14,14045,1364,15251512
105001,2034320833,179676,2.425626e-14,13427,1364,12696020
110001,2335985833,179648,2.425248e-14,12516,1364,14884124
115001,2429096291,179695,2.4258825e-14,14029,1364,17071372
120001,2550075042,179695,2.4258825e-14,14029,1364,19260860
125001,2639718875,179709,2.4260714999999996e-14,14499,1364,15118432
130001,2247019333,179680,2.4256799999999998e-14,13557,1364,17309044
135001,2027825792,179696,2.4258959999999997e-14,14079,1364,19493388
140001,2033268833,179709,2.4260714999999996e-14,14512,1364,21685164
145001,2072320583,183678,2.479653e-14,13557,1364,17540656
150001,2043182250,183695,2.4798824999999996e-14,14103,1364,19727712
155001,16041708,183675,2.4796125e-14,13464,1364,21917068
160001,2197203084,179722,2.426247e-14,14917,1364,24104468
165001,2152728625,183675,2.4796125e-14,13451,1364,26295448
170001,2297973375,184382,2.4891569999999997e-14,13949,1364,20568928
175001,2103364291,179692,2.425842e-14,13948,1364,22759472
180001,2081312750,179723,2.4262604999999997e-14,14942,1364,24944624
185001,3495673667,184367,2.4889545e-14,13451,1364,27136620
190001,2231875000,179662,2.4254369999999997e-14,12967,1364,29320896
195001,2033108209,179693,2.4258554999999997e-14,13973,1364,31513676
200001,2243895250,179746,2.4265709999999996e-14,15696,1364,24203860
205001,914440250,179721,2.4262335e-14,14880,1364,26392260
210001,2763154750,179705,2.4260175e-14,14378,1364,28585020
215001,2648797833,179736,2.4264359999999997e-14,15370,1364,30772244
220001,2315294125,179706,2.4260309999999997e-14,14399,1364,32961188
225001,2540441167,179722,2.426247e-14,14907,1364,35146248
230001,2042621458,185201,2.5002134999999995e-14,14411,1364,37336036
235001,2187193542,179705,2.4260175e-14,14382,1364,28443996
240001,2320720125,179722,2.426247e-14,14904,1364,30633092
245001,2095310208,179645,2.4252075e-14,12406,1364,32823856
250001,2284797958,179691,2.4258284999999995e-14,13918,1364,35007656
255001,2160600208,179735,2.4264225e-14,15333,1364,37195216
260001,2092936375,179706,2.4260309999999997e-14,14403,1364,39381056
265001,2179779916,179720,2.4262199999999997e-14,14869,1364,41567848
270001,2115316417,186133,2.5127954999999998e-14,14857,1364,43754696
275001,2716198292,187175,2.5268625e-14,15391,1364,33286096
280001,2150717083,179736,2.4264359999999997e-14,15379,1364,35471856
285001,2290274625,179722,2.426247e-14,14920,1364,37661140
290001,2387574042,179706,2.4260309999999997e-14,14398,1364,39850872
295001,2303343625,179721,2.4262335e-14,14895,1364,42038444
300001,4796533166,179725,2.4262875e-14,15004,1364,44227356
305001,924655709,179736,2.4264359999999997e-14,15389,1364,46414612
310001,2054606292,179722,2.426247e-14,14906,1388,48771172
315001,1835642042,179722,2.426247e-14,14931,1388,38132932
320001,3021721042,179752,2.4266519999999996e-14,15886,1388,40497216
325001,2303777167,179723,2.4262604999999997e-14,14952,1388,42864348
330001,2041265208,179722,2.426247e-14,14927,1388,45233284
335001,2159357084,179738,2.426463e-14,15449,1388,47602324
340001,2135996416,188088,2.5391879999999996e-14,15423,1388,49971200
345001,2057705833,179739,2.4264764999999996e-14,15462,1388,52341092
350001,3614536625,188062,2.538837e-14,14559,1388,54711512
355001,2040751917,179734,2.426409e-14,15305,1388,57080100
360001,2116296041,179704,2.4260039999999998e-14,14337,1388,43583612
365001,2403637250,179750,2.426625e-14,15828,1388,45951024
370001,2083791500,179764,2.4268139999999998e-14,16273,1388,48319316
375001,2476420042,179764,2.4268139999999998e-14,16286,1388,50686528
380001,2332998375,179721,2.4262335e-14,14897,1388,53056232
385001,2076842333,179735,2.4264225e-14,15331,1388,55422668
390001,2066593083,189354,2.556279e-14,15848,1388,57793156
395001,3256801416,179705,2.4260175e-14,14383,1388,60160940
400001,2304396459,189352,2.5562519999999998e-14,15793,1388,62529536
405001,3513055666,189310,2.5556849999999996e-14,14414,1388,64895428
410001,2532301250,190604,2.573154e-14,15420,1388,49638372
415001,2787177875,190619,2.5733565e-14,15878,1388,52008204
420001,2074339458,179737,2.4264495e-14,15408,1388,54375152
425001,2521577125,179738,2.426463e-14,15442,1388,56746824
430001,2357673791,179723,2.4262604999999997e-14,14957,1388,59112436
435001,6502429542,190620,2.5733699999999998e-14,15937,1388,61481336
440001,2041293209,190588,2.572938e-14,14897,1388,63851284
445001,4076175041,190589,2.5729514999999997e-14,14922,1388,66219068
450001,2136082917,190587,2.5729245e-14,14841,1388,68586752
455001,3248207500,190579,2.5728165e-14,14574,1388,70956408
460001,2221217375,190579,2.5728165e-14,14595,1388,73325892
465001,2034739583,191950,2.591325e-14,14595,1388,56300688
470001,242372125,191951,2.5913384999999997e-14,14616,1388,58670028
475001,2476633292,191965,2.5915274999999997e-14,15079,1388,61036284
480001,2477251375,191951,2.5913384999999997e-14,14616,1388,63407344
485001,2136565833,179713,2.4261255e-14,14616,1388,65775160
490001,3821209917,191966,2.5915409999999998e-14,15113,1388,68143048
495001,2033415250,179713,2.4261255e-14,14637,1388,70515180
500001,205420417,179902,2.4286769999999998e-14,15603,1388,72883296
505001,2037669209,179937,2.4291494999999996e-14,16719,1388,75257356
510001,2270711000,192175,2.5943624999999998e-14,16724,1388,77627436
515001,2340923042,192156,2.594106e-14,16125,1388,80001796
520001,2050984958,179915,2.4288524999999997e-14,16020,1388,82375880
525001,2342804166,179934,2.4291089999999996e-14,16631,1388,84748308
530001,3325600959,193914,2.6178389999999998e-14,16223,1388,64174252
535001,2902351916,193866,2.6171909999999997e-14,14681,1388,66546420
540001,2284711042,193930,2.6180549999999997e-14,16765,1388,68918148
545001,2300804125,193882,2.6174069999999997e-14,15213,1388,71294168
550001,2053119958,179906,2.4287309999999998e-14,15724,1388,73669860
555001,2327189250,179933,2.4290954999999998e-14,16597,1388,76046632
560001,2280291416,179918,2.4288929999999997e-14,16105,1388,78416320
565001,3264466792,179934,2.4291089999999996e-14,16630,1388,80794296
570001,2173361167,179917,2.4288795e-14,16087,1388,83168552
575001,2249907750,179935,2.4291225e-14,16655,1388,85541288
580001,3146946208,179950,2.4293249999999995e-14,17148,1388,87913600
585001,2174978375,179919,2.4289065e-14,16150,1388,90290632
590001,2323492917,179935,2.4291225e-14,16651,1388,92665436
595001,2145351916,179889,2.4285014999999998e-14,15148,1388,95035872
600001,15959917,179970,2.4295949999999998e-14,17783,1388,72656632
605001,3014336917,179904,2.428704e-14,15642,1388,75030568
610001,2052598041,179948,2.429298e-14,17093,1388,77403168
615001,2045007208,179921,2.4289334999999997e-14,16193,1388,79775876
620001,2169856375,179890,2.428515e-14,15178,1388,82148508
625001,5183065458,179890,2.428515e-14,15178,1388,84522068
630001,2287084084,179937,2.4291494999999996e-14,16715,1388,86893196
635001,2292468708,179907,2.4287445e-14,15756,1388,89268152
640001,2240055375,179908,2.4287579999999997e-14,15789,1388,91644144
645001,2355300458,195627,2.6409645e-14,16306,1388,94015652
650001,2663180875,195577,2.6402895e-14,14671,1388,96391360
655001,2176983250,195623,2.6409104999999998e-14,16163,1388,98763368
660001,2044685542,179873,2.4282855e-14,14647,1388,101136536
665001,13824417,179873,2.4282855e-14,14634,1388,103507612
670001,2288996792,179920,2.42892e-14,16175,1388,105882688
675001,2032263584,179904,2.428704e-14,15645,1388,108254180
680001,294274458,179888,2.428488e-14,15128,1388,82345476
685001,157668042,179919,2.4289065e-14,16149,1388,84718684
690001,2241197958,179919,2.4289065e-14,16150,1388,87091376
695001,13945584,179950,2.4293249999999995e-14,17148,1388,89462860
700001,2352765083,179940,2.4291900000000002e-14,16827,1388,91833860
705001,2167805916,179889,2.4285014999999998e-14,15158,1388,94209636
710001,2074340875,179888,2.428488e-14,15132,1388,96579688
715001,11383281792,197687,2.6687745e-14,15620,1388,98949200
720001,2036315708,179872,2.4282719999999998e-14,14609,1388,101320624
725001,2125933584,179856,2.428056e-14,14104,1388,103692960
730001,2034366042,179918,2.4288929999999997e-14,16125,1388,106062748
735001,3791288500,179919,2.4289065e-14,16150,1388,108437584
740001,2367203458,179888,2.428488e-14,15140,1388,110814980
745001,2048767250,179919,2.4289065e-14,16150,1388,113186248
750001,2057264208,179975,2.4296625e-14,17952,1388,115558544
755001,3227864334,179919,2.4289065e-14,16143,1388,117928188
760001,2033359750,197703,2.6689905e-14,16130,1388,120298124
765001,2298375333,197702,2.6689769999999995e-14,16117,1388,122671572
770001,2060860125,179919,2.4289065e-14,16155,1388,93237308
775001,2316069041,179936,2.4291359999999998e-14,16685,1388,95610460
780001,2316185500,179937,2.4291494999999996e-14,16736,1388,97981508
785001,2042679375,179935,2.4291225e-14,16673,1388,100353720
790001,2073626917,200025,2.7003375e-14,16643,1388,102729456
795001,2271514791,200011,2.7001485e-14,16176,1388,105102708
800001,2499518833,200043,2.7005805e-14,17225,1388,107475728
805001,8862645375,179903,2.4286904999999995e-14,15617,1388,109849552
810001,2309439959,179934,2.4291089999999996e-14,16627,1388,112224444
815001,2192492500,200012,2.7001619999999997e-14,16206,1388,114597188
820001,3538644334,179952,2.4293519999999997e-14,17215,1388,116966404
825001,2355879125,179921,2.4289334999999997e-14,16192,1388,119342548
830001,2042221125,199979,2.6997164999999995e-14,15144,1388,121715488
835001,3202166209,200027,2.7003645e-14,16699,1388,124090944
840001,2586630167,199994,2.6999189999999996e-14,15637,1388,126462160
845001,2037018667,179919,2.4289065e-14,16156,1388,128835116
850001,2439544584,179972,2.429622e-14,17856,1388,131206524
855001,2502288416,179948,2.429298e-14,17085,1388,133581780
860001,2304295500,179917,2.4288795e-14,16074,1388,135956788
865001,2032550083,179934,2.4291089999999996e-14,16639,1388,138329448
870001,2047854541,179950,2.4293249999999995e-14,17157,1388,140703044
875001,2276968875,179950,2.4293249999999995e-14,17164,1388,105955600
880001,2038826750,179937,2.4291494999999996e-14,16723,1388,108325260
885001,3277761958,179966,2.4295409999999998e-14,17669,1388,110698528
890001,2135888875,179950,2.4293249999999995e-14,17145,1388,113073368
895001,2266616834,179918,2.4288929999999997e-14,16122,1388,115444932
900001,3039026292,179935,2.4291225e-14,16664,1388,117817992
905001,18935370000,225695,3.0468825e-14,16156,1388,120189408
910001,3070164584,202806,2.737881e-14,16091,1388,122565512
915001,2374374583,179889,2.4285014999999998e-14,15161,1388,124938188
920001,2038327292,179935,2.4291225e-14,16664,1388,127310100
925001,3422004167,179936,2.4291359999999998e-14,16703,1388,129684108
930001,2480183167,179952,2.4293519999999997e-14,17203,1388,132057192
935001,2176862250,179937,2.4291494999999996e-14,16724,1388,134430420
